node1	node2
b0171	b0945	
b0171	b1062	
b0171	b1281	
b0171	b2518	
b0171	b2780	
b0171	b3642	
b0171	b4244	
b0171	b4245	
b0173	b0420	
b0173	b1208	
b0173	b2515	
b0173	b2525	
b0173	b2746	
b0173	b2747	
b0173	b2889	
b0174	b0421	
b0174	b2889	
b0174	b3187	
b0175	b0418	
b0175	b0789	
b0175	b1094	
b0175	b1249	
b0175	b1278	
b0175	b1912	
b0175	b2560	
b0175	b2585	
b0175	b3018	
b0175	b3608	
b0175	b4041	
b0175	b4160	
b0179	b0181	
b0179	b0182	
b0179	b0524	
b0179	b0915	
b0179	b1094	
b0180	b0494	
b0180	b0774	
b0180	b0775	
b0180	b0776	
b0180	b0777	
b0180	b0778	
b0180	b0954	
b0180	b1091	
b0180	b1093	
b0180	b1094	
b0180	b1095	
b0180	b1288	
b0180	b2323	
b0180	b3412	
b0181	b0182	
b0181	b0524	
b0181	b0915	
b0181	b1094	
b0182	b0524	
b0182	b0915	
b0182	b1094	
b0185	b1091	
b0185	b1092	
b0185	b1094	
b0185	b2316	
b0185	b3255	
b0185	b3256	
b0185	b3973	
b0186	b4131	
b0194	b0526	
b0194	b0642	
b0194	b0680	
b0194	b0893	
b0194	b0930	
b0194	b1637	
b0194	b1713	
b0194	b1714	
b0194	b1719	
b0194	b1866	
b0194	b1876	
b0194	b2114	
b0194	b2400	
b0194	b2514	
b0194	b2697	
b0194	b2890	
b0194	b3384	
b0194	b3559	
b0194	b3560	
b0194	b4129	
b0194	b4258	
b0200	b0222	
b0200	b3052	
b0200	b3619	
b0207	b1781	
b0207	b3001	
b0207	b3012	
b0207	b3437	
b0207	b3553	
b0207	b3945	
b0207	b4266	
b0207	b4267	
b0207	b4268	
b0212	b1651	
b0212	b2133	
b0212	b2154	
b0221	b1387	
b0221	b1695	
b0221	b1701	
b0221	b1805	
b0221	b2341	
b0221	b2342	
b0221	b3845	
b0221	b3846	
b0222	b3052	
b0222	b3619	
b0238	b1623	
b0238	b2407	
b0238	b4384	
b0242	b0243	
b0242	b0386	
b0243	b0386	
b0273	b2818	
b0273	b3172	
b0273	b3359	
b0273	b3957	
b0273	b3958	
b0273	b3959	
b0273	b3960	
b0273	b4254	
b0311	b0312	
b0331	b0333	
b0331	b0334	
b0331	b0335	
b0331	b4069	
b0333	b0334	
b0333	b0335	
b0333	b4069	
b0334	b0335	
b0334	b4069	
b0335	b4069	
b0337	b0910	
b0337	b2066	
b0337	b2143	
b0337	b2498	
b0337	b2518	
b0337	b3831	
b0339	b0340	
b0347	b0348	
b0347	b0349	
b0347	b0350	
b0347	b0351	
b0347	b0352	
b0347	b1241	
b0347	b2538	
b0347	b2539	
b0347	b2540	
b0347	b2541	
b0347	b2542	
b0348	b0349	
b0348	b0350	
b0348	b0351	
b0348	b0352	
b0348	b1241	
b0348	b2538	
b0348	b2539	
b0348	b2540	
b0348	b2541	
b0348	b2542	
b0349	b0350	
b0349	b0351	
b0349	b0352	
b0349	b1241	
b0349	b2538	
b0349	b2539	
b0349	b2540	
b0349	b2541	
b0349	b2542	
b0350	b0351	
b0350	b0352	
b0350	b1241	
b0350	b2538	
b0350	b2539	
b0350	b2540	
b0350	b2541	
b0350	b2542	
b0351	b0352	
b0351	b0870	
b0351	b1241	
b0351	b1478	
b0351	b1623	
b0351	b2143	
b0351	b2538	
b0351	b2539	
b0351	b2540	
b0351	b2541	
b0351	b2542	
b0351	b4381	
b0351	b4382	
b0351	b4383	
b0351	b4384	
b0352	b1241	
b0352	b2538	
b0352	b2539	
b0352	b2540	
b0352	b2541	
b0352	b2542	
b0355	b0356	
b0355	b2154	
b0356	b2154	
b0369	b0475	
b0369	b1210	
b0369	b2400	
b0369	b2436	
b0369	b3804	
b0369	b3805	
b0369	b3850	
b0369	b3997	
b0381	b2519	
b0381	b3189	
b0381	b3208	
b0381	b3396	
b0381	b3967	
b0381	b3972	
b0388	b0754	
b0388	b0908	
b0388	b1692	
b0388	b1693	
b0388	b1704	
b0388	b2329	
b0388	b2601	
b0388	b3281	
b0388	b3389	
b0388	b3390	
b0399	b0400	
b0403	b0688	
b0403	b2388	
b0403	b3416	
b0403	b3417	
b0403	b3428	
b0403	b3431	
b0404	b1094	
b0404	b2563	
b0404	b3475	
b0405	b0406	
b0405	b2794	
b0405	b4166	
b0406	b2794	
b0406	b4166	
b0414	b0415	
b0414	b1277	
b0414	b1662	
b0414	b3041	
b0415	b1277	
b0415	b1662	
b0415	b3041	
b0417	b1106	
b0417	b2103	
b0417	b2104	
b0417	b2418	
b0417	b3993	
b0418	b0789	
b0418	b1094	
b0418	b1249	
b0418	b1278	
b0418	b1912	
b0418	b2560	
b0418	b2585	
b0418	b3018	
b0418	b3608	
b0418	b4041	
b0418	b4160	
b0420	b0423	
b0420	b0907	
b0420	b1208	
