node1,node2
b1086,b1269
b0184,b4372
b0184,b0470
b3231,b4179
b3341,b4179
b3303,b3319
b2942,b3251
b3251,b3980
b0948,b3984
b1086,b3162
b2779,b3164
b3314,b4179
b0911,b1269
b0015,b3725
b3054,b3162
b0640,b1099
b0948,b1086
b3169,b3988
b3294,b3319
b3649,b3988
b1269,b3305
b0125,b4126
b0356,b1943
b0889,b1287
b1174,b3807
b1262,b2846
b1334,b2495
b1706,b2846
b1881,b3635
b1943,b3408
b1976,b3745
b2326,b2952
b2533,b3219
b2996,b4207
b3209,b4671
b3169,b3295
b0064,b3128
b0962,b3806
b1198,b3806
b1205,b3734
b2207,b2997
b2263,b2369
b2369,b2370
b2572,b2573
b3484,b3734
b2576,b3319
b3180,b3231
b3186,b3341
b3180,b3319
b1086,b4179
b3303,b3310
b2581,b2585
b1269,b2585
b3294,b4203
b3186,b3984
b3297,b3314
b3186,b3317
b2585,b3296
b1086,b2581
b3308,b3317
b2581,b3317
b3301,b3319
b0215,b4372
b3067,b3169
b3169,b3987
b0215,b1099
b1375,b1544
b2581,b4203
b2585,b3314
b2576,b3162
b3297,b3303
b0215,b0640
b3482,b3593
b0015,b3980
b4179,b4200
b2581,b4179
b2581,b4200
b2517,b2576
b1763,b3822
b3305,b3317
b3298,b3303
b0059,b3988
b1224,b1467
b3319,b3783
b1269,b3164
b3294,b3320
b1099,b1842
b0098,b3319
b0882,b3783
b3307,b3317
b1269,b2606
b0948,b2585
b0911,b3305
b3065,b3303
b0114,b0115
b3296,b3308
b0095,b2699
b0640,b1842
b3162,b3231
b3301,b3305
b3295,b3319
b1842,b4372
b1269,b3298
b3303,b3984
b3230,b3305
b3186,b3296
b2581,b3180
b0169,b3296
b1274,b3822
b1274,b4059
b3296,b3306
b0440,b4000
b3298,b4179
b3065,b3306
b3162,b3309
b1269,b3301
b0059,b3169
b1269,b1413
b3306,b4202
b1269,b3319
b0911,b1413
b0215,b4259
b3296,b3313
b3341,b3987
b2530,b3895
b3230,b3320
b3164,b3314
b1162,b3317
b0440,b3417
