"node1","node2","Uni_N1","Uni_N2"
"eco:b0115","eco:b0151","P06959","P07821"
"eco:b0150","eco:b0151","P06971","P07821"
"eco:b0151","eco:b0152","P07821","P07822"
"eco:b0150","eco:b0152","P06971","P07822"
"eco:b0152","eco:b0153","P07822","P06972"
"eco:b0083","eco:b0154","P0AEN4","P23893"
"eco:b0069","eco:b0157","P33595","P0AFP0"
"eco:b0070","eco:b0157","P31675","P0AFP0"
"eco:b0010","eco:b0157","P0AC98","P0AFP0"
"eco:b0157","eco:b0158","P0AFP0","P37028"
"eco:b0048","eco:b0160","P0ABQ4","P15723"
"eco:b0062","eco:b0162","P08202","P37047"
"eco:b0146","eco:b0163","P0A823","P62768"
"eco:b0119","eco:b0163","P0A8E5","P62768"
"eco:b0108","eco:b0164","P36647","P37049"
"eco:b0058","eco:b0164","P0AA37","P37049"
"eco:b0106","eco:b0164","P36646","P37049"
"eco:b0112","eco:b0166","P15993","P0A9D8"
"eco:b0131","eco:b0168","P0A790","P0AE18"
"eco:b0023","eco:b0169","P0A7U7","P0A7V0"
"eco:b0008","eco:b0169","P0A870","P0A7V0"
"eco:b0144","eco:b0169","P27305","P0A7V0"
"eco:b0115","eco:b0169","P06959","P0A7V0"
"eco:b0166","eco:b0169","P0A9D8","P0A7V0"
"eco:b0116","eco:b0169","P0A9P0","P0A7V0"
"eco:b0114","eco:b0169","P0AFG8","P0A7V0"
"eco:b0166","eco:b0170","P0A9D8","P0A6P1"
"eco:b0023","eco:b0170","P0A7U7","P0A6P1"
"eco:b0169","eco:b0170","P0A7V0","P0A6P1"
"eco:b0170","eco:b0171","P0A6P1","P0A7E9"
"eco:b0008","eco:b0171","P0A870","P0A7E9"
"eco:b0033","eco:b0171","P00968","P0A7E9"
"eco:b0032","eco:b0171","P0A6F1","P0A7E9"
"eco:b0023","eco:b0171","P0A7U7","P0A7E9"
"eco:b0026","eco:b0171","P00956","P0A7E9"
"eco:b0120","eco:b0171","P0A7F6","P0A7E9"
"eco:b0143","eco:b0171","P0ABF1","P0A7E9"
"eco:b0121","eco:b0171","P09158","P0A7E9"
"eco:b0118","eco:b0171","P36683","P0A7E9"
"eco:b0171","eco:b0172","P0A7E9","P0A805"
"eco:b0144","eco:b0172","P27305","P0A805"
"eco:b0169","eco:b0172","P0A7V0","P0A805"
"eco:b0059","eco:b0173","P60240","P45568"
"eco:b0174","eco:b0175","P60472","P0ABG1"
"eco:b0010","eco:b0175","P0AC98","P0ABG1"
"eco:b0157","eco:b0175","P0AFP0","P0ABG1"
"eco:b0175","eco:b0176","P0ABG1","P0AEH1"
"eco:b0089","eco:b0176","P0ABG4","P0AEH1"
"eco:b0114","eco:b0177","P0AFG8","P0A940"
"eco:b0176","eco:b0177","P0AEH1","P0A940"
"eco:b0054","eco:b0177","P31554","P0A940"
"eco:b0053","eco:b0177","P0ABZ6","P0A940"
"eco:b0008","eco:b0177","P0A870","P0A940"
"eco:b0177","eco:b0178","P0A940","P0AEU7"
"eco:b0023","eco:b0179","P0A7U7","P21645"
"eco:b0178","eco:b0179","P0AEU7","P21645"
"eco:b0177","eco:b0179","P0A940","P21645"
"eco:b0171","eco:b0180","P0A7E9","P0A6Q6"
"eco:b0116","eco:b0180","P0A9P0","P0A6Q6"
"eco:b0087","eco:b0180","P0A6W3","P0A6Q6"
"eco:b0172","eco:b0180","P0A805","P0A6Q6"
"eco:b0168","eco:b0180","P0AE18","P0A6Q6"
"eco:b0179","eco:b0180","P21645","P0A6Q6"
"eco:b0178","eco:b0180","P0AEU7","P0A6Q6"
"eco:b0179","eco:b0181","P21645","P0A722"
"eco:b0048","eco:b0181","P0ABQ4","P0A722"
"eco:b0180","eco:b0182","P0A6Q6","P10441"
"eco:b0134","eco:b0182","P31057","P10441"
"eco:b0116","eco:b0182","P0A9P0","P10441"
"eco:b0175","eco:b0183","P0ABG1","P10442"
"eco:b0087","eco:b0183","P0A6W3","P10442"
"eco:b0179","eco:b0183","P21645","P10442"
"eco:b0182","eco:b0183","P10441","P10442"
"eco:b0034","eco:b0184","P0AE58","P10443"
"eco:b0171","eco:b0184","P0A7E9","P10443"
"eco:b0173","eco:b0184","P45568","P10443"
"eco:b0183","eco:b0184","P10442","P10443"
"eco:b0180","eco:b0184","P0A6Q6","P10443"
"eco:b0116","eco:b0184","P0A9P0","P10443"
"eco:b0023","eco:b0185","P0A7U7","P0ABD5"
"eco:b0168","eco:b0185","P0AE18","P0ABD5"
"eco:b0179","eco:b0185","P21645","P0ABD5"
"eco:b0083","eco:b0186","P0AEN4","P52095"
"eco:b0060","eco:b0186","P21189","P52095"
"eco:b0146","eco:b0186","P0A823","P52095"
"eco:b0070","eco:b0187","P31675","P52096"
"eco:b0048","eco:b0187","P0ABQ4","P52096"
"eco:b0011","eco:b0188","P75617","P52097"
"eco:b0051","eco:b0194","P06992","P16659"
