"node1","node2","Uni_N1","Uni_N2"
"eco:b0047","eco:b0149","P03819","P02919"
"eco:b0104","eco:b0149","P60560","P02919"
"eco:b0087","eco:b0149","P0A6W3","P02919"
"eco:b0109","eco:b0149","P30011","P02919"
"eco:b0031","eco:b0149","P04036","P02919"
"eco:b0052","eco:b0149","P19624","P02919"
"eco:b0023","eco:b0149","P0A7U7","P02919"
"eco:b0048","eco:b0149","P0ABQ4","P02919"
"eco:b0078","eco:b0151","P00894","P07821"
"eco:b0104","eco:b0151","P60560","P07821"
"eco:b0151","eco:b0152","P07821","P07822"
"eco:b0152","eco:b0153","P07822","P06972"
"eco:b0151","eco:b0153","P07821","P06972"
"eco:b0153","eco:b0154","P06972","P23893"
"eco:b0004","eco:b0154","P00934","P23893"
"eco:b0068","eco:b0154","P31550","P23893"
"eco:b0134","eco:b0154","P31057","P23893"
"eco:b0120","eco:b0160","P0A7F6","P15723"
"eco:b0104","eco:b0160","P60560","P15723"
"eco:b0115","eco:b0160","P06959","P15723"
"eco:b0124","eco:b0160","P15877","P15723"
"eco:b0003","eco:b0166","P00547","P0A9D8"
"eco:b0134","eco:b0166","P31057","P0A9D8"
"eco:b0004","eco:b0166","P00934","P0A9D8"
"eco:b0085","eco:b0166","P22188","P0A9D8"
"eco:b0109","eco:b0166","P30011","P0A9D8"
"eco:b0091","eco:b0166","P17952","P0A9D8"
"eco:b0078","eco:b0166","P00894","P0A9D8"
"eco:b0151","eco:b0166","P07821","P0A9D8"
"eco:b0031","eco:b0166","P04036","P0A9D8"
"eco:b0023","eco:b0166","P0A7U7","P0A9D8"
"eco:b0077","eco:b0166","P00893","P0A9D8"
"eco:b0120","eco:b0166","P0A7F6","P0A9D8"
"eco:b0133","eco:b0166","P31663","P0A9D8"
"eco:b0115","eco:b0166","P06959","P0A9D8"
"eco:b0086","eco:b0166","P11880","P0A9D8"
"eco:b0149","eco:b0166","P02919","P0A9D8"
"eco:b0104","eco:b0166","P60560","P0A9D8"
"eco:b0068","eco:b0166","P31550","P0A9D8"
"eco:b0121","eco:b0166","P09158","P0A9D8"
"eco:b0052","eco:b0166","P19624","P0A9D8"
