"node1","node2","Uni_N1","Uni_N2"
"eco:b1079","eco:b1887","P0A6S0","P0A964"
"eco:b1452","eco:b1887","P76116","P0A964"
"eco:b1071","eco:b1888","P0AEM4","P07363"
"eco:b0194","eco:b1888","P16659","P07363"
"eco:b1881","eco:b1888","P0A9H9","P07363"
"eco:b1883","eco:b1888","P07330","P07363"
"eco:b1886","eco:b1888","P07017","P07363"
"eco:b1882","eco:b1888","P0AE67","P07363"
"eco:b1887","eco:b1888","P0A964","P07363"
"eco:b1378","eco:b1892","P52647","P0A8S9"
"eco:b1878","eco:b1892","P76297","P0A8S9"
"eco:b1884","eco:b1892","P07364","P0A8S9"
"eco:b0436","eco:b1905","P0A850","P0A998"
"eco:b1535","eco:b1921","P31129","P52627"
"eco:b1082","eco:b1921","P33235","P52627"
"eco:b0194","eco:b1922","P16659","P0AEM6"
"eco:b0081","eco:b1922","P22186","P0AEM6"
"eco:b1892","eco:b1922","P0A8S9","P0AEM6"
"eco:b1070","eco:b1922","P43533","P0AEM6"
"eco:b1074","eco:b1922","P0ABX2","P0AEM6"
"eco:b1071","eco:b1922","P0AEM4","P0AEM6"
"eco:b1083","eco:b1924","P29744","P24216"
"eco:b1080","eco:b1924","P0A6S3","P24216"
"eco:b1079","eco:b1925","P0A6S0","P26608"
"eco:b1081","eco:b1925","P75942","P26608"
"eco:b1924","eco:b1925","P24216","P26608"
"eco:b1081","eco:b1926","P75942","P0ABY2"
"eco:b1892","eco:b1926","P0A8S9","P0ABY2"
"eco:b1924","eco:b1926","P24216","P0ABY2"
"eco:b1925","eco:b1926","P26608","P0ABY2"
"eco:b1079","eco:b1926","P0A6S0","P0ABY2"
"eco:b1888","eco:b1926","P07363","P0ABY2"
"eco:b1071","eco:b1926","P0AEM4","P0ABY2"
"eco:b1880","eco:b1937","P76299","P0A8T5"
"eco:b1881","eco:b1937","P0A9H9","P0A8T5"
"eco:b1938","eco:b1939","P25798","P0ABZ1"
"eco:b1892","eco:b1939","P0A8S9","P0ABZ1"
"eco:b1237","eco:b1939","P0ACF8","P0ABZ1"
"eco:b1880","eco:b1939","P76299","P0ABZ1"
"eco:b1194","eco:b1939","P76010","P0ABZ1"
"eco:b0194","eco:b1939","P16659","P0ABZ1"
"eco:b1079","eco:b1939","P0A6S0","P0ABZ1"
"eco:b1274","eco:b1940","P06612","P31068"
"eco:b1939","eco:b1941","P0ABZ1","P52612"
"eco:b0194","eco:b1941","P16659","P52612"
"eco:b1926","eco:b1941","P0ABY2","P52612"
"eco:b1925","eco:b1941","P26608","P52612"
"eco:b1083","eco:b1941","P29744","P52612"
"eco:b1081","eco:b1941","P75942","P52612"
"eco:b1922","eco:b1941","P0AEM6","P52612"
"eco:b1884","eco:b1941","P07364","P52612"
"eco:b1079","eco:b1941","P0A6S0","P52612"
"eco:b1892","eco:b1941","P0A8S9","P52612"
"eco:b1926","eco:b1942","P0ABY2","P52613"
"eco:b1944","eco:b1945","P0ABX8","P06974"
"eco:b1194","eco:b1945","P76010","P06974"
"eco:b1079","eco:b1945","P0A6S0","P06974"
"eco:b1939","eco:b1945","P0ABZ1","P06974"
"eco:b1081","eco:b1945","P75942","P06974"
"eco:b1884","eco:b1946","P07364","P15070"
"eco:b1945","eco:b1946","P06974","P15070"
"eco:b1941","eco:b1946","P52612","P15070"
"eco:b0194","eco:b1946","P16659","P15070"
"eco:b1944","eco:b1947","P0ABX8","P22586"
"eco:b1075","eco:b1949","P75936","P0AC07"
"eco:b1946","eco:b1950","P15070","P33135"
"eco:b1081","eco:b1950","P75942","P33135"
"eco:b1968","eco:b1969","P76339","P76340"
"eco:b1594","eco:b1976","P50456","P76346"
"eco:b0095","eco:b2004","P0A9A6","P76364"
"eco:b1983","eco:b2016","P0A8A2","P0AD12"
"eco:b0436","eco:b2022","P0A850","P06987"
"eco:b0237","eco:b2029","P15288","P00350"
"eco:b2075","eco:b2076","P76398","P76399"
"eco:b0436","eco:b2091","P0A850","P0A9S3"
"eco:b0436","eco:b2094","P0A850","P69828"
"eco:b0436","eco:b2095","P0A850","P0C8J8"
"eco:b2095","eco:b2096","P0C8J8","P0C8J6"
"eco:b2146","eco:b2147","P76440","P25889"
"eco:b0424","eco:b2183","Q46948","P0AA43"
"eco:b2194","eco:b2196","P0ABM9","P33927"
"eco:b2196","eco:b2197","P33927","P69490"
"eco:b2197","eco:b2198","P69490","P0ABM5"
"eco:b2198","eco:b2199","P0ABM5","P0ABM1"
"eco:b2197","eco:b2199","P69490","P0ABM1"
"eco:b2199","eco:b2201","P0ABM1","P33931"
"eco:b2202","eco:b2204","P0ABL5","P33934"
"eco:b2206","eco:b2207","P33937","P0A9I5"
"eco:b0161","eco:b2215","P0C0V0","P06996"
"eco:b1951","eco:b2217","P0DMC9","P0DMC7"
"eco:b1882","eco:b2231","P0AE67","P0AES4"
"eco:b1925","eco:b2231","P26608","P0AES4"
"eco:b2009","eco:b2231","P33012","P0AES4"
"eco:b1071","eco:b2231","P0AEM4","P0AES4"
"eco:b0014","eco:b2231","P0A6Y8","P0AES4"
"eco:b1530","eco:b2231","P27245","P0AES4"
"eco:b1939","eco:b2231","P0ABZ1","P0AES4"
"eco:b1071","eco:b2235","P0AEM4","P69924"
"eco:b1945","eco:b2239","P06974","P09394"
"eco:b1926","eco:b2239","P0ABY2","P09394"
"eco:b1925","eco:b2239","P26608","P09394"
"eco:b1888","eco:b2239","P07363","P09394"
"eco:b1077","eco:b2239","P75938","P09394"
"eco:b1078","eco:b2239","P0ABX5","P09394"
"eco:b1082","eco:b2239","P33235","P09394"
"eco:b0325","eco:b2243","P75691","P0A996"
"eco:b0424","eco:b2283","Q46948","P33602"
"eco:b0436","eco:b2285","P0A850","P0AFD1"
"eco:b2283","eco:b2286","P33602","P33599"
"eco:b2286","eco:b2287","P33599","P0AFC7"
"eco:b0185","eco:b2316","P0ABD5","P0A9Q5"
"eco:b0881","eco:b2316","P0A8Q6","P0A9Q5"
"eco:b0492","eco:b2319","P77395","P08390"
"eco:b0083","eco:b2321","P0AEN4","P15286"
"eco:b1094","eco:b2323","P0A6A8","P0A953"
"eco:b0436","eco:b2388","P0A850","P0A6V8"
"eco:b1101","eco:b2388","P69786","P0A6V8"
"eco:b0095","eco:b2412","P0A9A6","P77173"
"eco:b1656","eco:b2414","P0AGD3","P0ABK5"
"eco:b2400","eco:b2414","P04805","P0ABK5"
"eco:b2415","eco:b2416","P0AA04","P08839"
"eco:b0424","eco:b2416","Q46948","P08839"
"eco:b1101","eco:b2417","P69786","P69783"
"eco:b2415","eco:b2417","P0AA04","P69783"
"eco:b1084","eco:b2465","P21513","P33570"
"eco:b2193","eco:b2469","P31802","P27896"
"eco:b0177","eco:b2477","P0A940","P0A903"
"eco:b0424","eco:b2480","Q46948","P0AE52"
"eco:b2477","eco:b2512","P0A903","P77774"
"eco:b0177","eco:b2512","P0A940","P77774"
"eco:b0053","eco:b2512","P0ABZ6","P77774"
"eco:b2217","eco:b2513","P0DMC7","P76576"
"eco:b0083","eco:b2513","P0AEN4","P76576"
"eco:b2525","eco:b2528","P0A9R4","P0AAC8"
"eco:b2525","eco:b2529","P0A9R4","P0ACD4"
"eco:b2525","eco:b2530","P0A9R4","P0A6B7"
"eco:b1094","eco:b2530","P0A6A8","P0A6B7"
"eco:b2529","eco:b2530","P0ACD4","P0A6B7"
"eco:b0167","eco:b2553","P27249","P0A9Z1"
"eco:b0450","eco:b2553","P0AC55","P0A9Z1"
