"Uni_N1","Uni_N2"
"eco:b0914","eco:Phosphate"
"eco:b0914","eco:ADP"
"eco:b0752","eco:H+"
"eco:b3915","eco:H+"
"eco:b0752","eco:H+"
"eco:b3915","eco:H+"
"eco:b0752","eco:Co2+"
"eco:b3915","eco:Co2+"
"eco:b0752","eco:Co2+"
"eco:b3915","eco:Co2+"
"eco:b0822","eco:D-Fructose"
"eco:b0822","eco:H2O"
"eco:b0822","eco:Phosphate"
"eco:b0822","eco:D-Fructose 6-phosphate"
"eco:b1684","eco:SufBCD with bound [4Fe-4S] cluster"
"eco:b1683","eco:SufBCD with bound [4Fe-4S] cluster"
"eco:b1682","eco:SufBCD with bound [4Fe-4S] cluster"
"eco:b1681","eco:SufBCD with bound [4Fe-4S] cluster"
"eco:b1684","eco:H+"
"eco:b1683","eco:H+"
"eco:b1682","eco:H+"
"eco:b1681","eco:H+"
"eco:b1684","eco:[4Fe-4S] iron-sulfur cluster"
"eco:b1683","eco:[4Fe-4S] iron-sulfur cluster"
"eco:b1682","eco:[4Fe-4S] iron-sulfur cluster"
"eco:b1681","eco:[4Fe-4S] iron-sulfur cluster"
"eco:b1684","eco:SufBCD scaffold complex"
"eco:b1683","eco:SufBCD scaffold complex"
"eco:b1682","eco:SufBCD scaffold complex"
"eco:b1681","eco:SufBCD scaffold complex"
"eco:b0241","eco:Dihydroxyacetone"
"eco:b0929","eco:Dihydroxyacetone"
"eco:b1377","eco:Dihydroxyacetone"
"eco:b2215","eco:Dihydroxyacetone"
"eco:b0241","eco:Dihydroxyacetone"
"eco:b0929","eco:Dihydroxyacetone"
"eco:b1377","eco:Dihydroxyacetone"
"eco:b2215","eco:Dihydroxyacetone"
"eco:b1131","eco:5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide"
"eco:b1131","eco:(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate"
"eco:b1131","eco:Fumarate"
"eco:b0494","eco:sn-Glycero-3-phosphoethanolamine"
"eco:b0494","eco:H2O"
"eco:b0494","eco:1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)"
"eco:b0494","eco:tetradecenoate (n-C14:1)"
"eco:b0494","eco:H+"
"eco:b3650","eco:GDP"
"eco:b3650","eco:Diphosphate"
"eco:b3650","eco:Guanosine 3',5'-bis(diphosphate)"
"eco:b3650","eco:H2O"
"eco:ferroxamine minus Fe(3) exchange","eco:ferroxamine minus Fe(3)"
"eco:b2310","eco:Phosphate"
"eco:b2307","eco:Phosphate"
"eco:b2306","eco:Phosphate"
"eco:b2308","eco:Phosphate"
"eco:b0863","eco:Phosphate"
"eco:b0860","eco:Phosphate"
"eco:b0861","eco:Phosphate"
"eco:b0864","eco:Phosphate"
"eco:b0862","eco:Phosphate"
"eco:b2310","eco:ADP"
"eco:b2307","eco:ADP"
"eco:b2306","eco:ADP"
"eco:b2308","eco:ADP"
"eco:b0863","eco:ADP"
"eco:b0860","eco:ADP"
"eco:b0861","eco:ADP"
"eco:b0864","eco:ADP"
"eco:b0862","eco:ADP"
"eco:b2310","eco:L-Arginine"
"eco:b2307","eco:L-Arginine"
"eco:b2306","eco:L-Arginine"
"eco:b2308","eco:L-Arginine"
"eco:b0863","eco:L-Arginine"
"eco:b0860","eco:L-Arginine"
"eco:b0861","eco:L-Arginine"
"eco:b0864","eco:L-Arginine"
"eco:b0862","eco:L-Arginine"
"eco:b2310","eco:H2O"
"eco:b2307","eco:H2O"
"eco:b2306","eco:H2O"
"eco:b2308","eco:H2O"
"eco:b0863","eco:H2O"
"eco:b0860","eco:H2O"
"eco:b0861","eco:H2O"
"eco:b0864","eco:H2O"
"eco:b0862","eco:H2O"
"eco:b2310","eco:H+"
"eco:b2307","eco:H+"
"eco:b2306","eco:H+"
"eco:b2308","eco:H+"
"eco:b0863","eco:H+"
"eco:b0860","eco:H+"
