"node1"	"node2"	"genename_N1"
"b1819"	"pyr"	"GLCpts"
"b2415"	"pyr"	"GLCpts"
"b2416"	"pyr"	"GLCpts"
"b2417"	"pyr"	"GLCpts"
"b1297"	"adp"	"GLNS"
"b3870"	"adp"	"GLNS"
"b1297"	"atp"	"GLNS"
"b3870"	"atp"	"GLNS"
"b1297"	"gln-L"	"GLNS"
"b3870"	"gln-L"	"GLNS"
"b1297"	"glu-L"	"GLNS"
"b3870"	"glu-L"	"GLNS"
"b1297"	"h"	"GLNS"
"b3870"	"h"	"GLNS"
"b1297"	"nh4"	"GLNS"
"b3870"	"nh4"	"GLNS"
"b1297"	"pi"	"GLNS"
"b3870"	"pi"	"GLNS"
"b0809"	"adp"	"GLNabc"
"b0810"	"adp"	"GLNabc"
"b0811"	"adp"	"GLNabc"
"b0809"	"atp"	"GLNabc"
"b0810"	"atp"	"GLNabc"
"b0811"	"atp"	"GLNabc"
"b0809"	"gln-L"	"GLNabc"
"b0810"	"gln-L"	"GLNabc"
"b0811"	"gln-L"	"GLNabc"
"b0809"	"gln-L(e)"	"GLNabc"
"b0810"	"gln-L(e)"	"GLNabc"
"b0811"	"gln-L(e)"	"GLNabc"
"b0809"	"h2o"	"GLNabc"
"b0810"	"h2o"	"GLNabc"
"b0811"	"h2o"	"GLNabc"
"b0809"	"h"	"GLNabc"
"b0810"	"h"	"GLNabc"
"b0811"	"h"	"GLNabc"
"b0809"	"pi"	"GLNabc"
"b0810"	"pi"	"GLNabc"
"b0811"	"pi"	"GLNabc"
"b1761"	"akg"	"GLUDy"
"b1761"	"glu-L"	"GLUDy"
"b1761"	"h2o"	"GLUDy"
"b1761"	"h"	"GLUDy"
"b1761"	"nadp"	"GLUDy"
"b1761"	"nadph"	"GLUDy"
"b1761"	"nh4"	"GLUDy"
"b0485"	"gln-L"	"GLUN"
"b1524"	"gln-L"	"GLUN"
"b1812"	"gln-L"	"GLUN"
"b0485"	"glu-L"	"GLUN"
"b1524"	"glu-L"	"GLUN"
"b1812"	"glu-L"	"GLUN"
"b0485"	"h2o"	"GLUN"
"b1524"	"h2o"	"GLUN"
"b1812"	"h2o"	"GLUN"
"b0485"	"nh4"	"GLUN"
"b1524"	"nh4"	"GLUN"
"b1812"	"nh4"	"GLUN"
"b3212"	"akg"	"GLUSy"
"b3213"	"akg"	"GLUSy"
"b3212"	"gln-L"	"GLUSy"
"b3213"	"gln-L"	"GLUSy"
"b3212"	"glu-L"	"GLUSy"
"b3213"	"glu-L"	"GLUSy"
"b3212"	"h"	"GLUSy"
"b3213"	"h"	"GLUSy"
"b3212"	"nadp"	"GLUSy"
"b3213"	"nadp"	"GLUSy"
"b3212"	"nadph"	"GLUSy"
"b3213"	"nadph"	"GLUSy"
"b4077"	"glu-L"	"GLUt2r"
"b4077"	"glu-L(e)"	"GLUt2r"
"b4077"	"h"	"GLUt2r"
"b4077"	"h(e)"	"GLUt2r"
"b2029"	"6pgc"	"GND"
"b2029"	"co2"	"GND"
"b2029"	"nadp"	"GND"
"b2029"	"nadph"	"GND"
"b2029"	"ru5p-D"	"GND"
"b0875"	"h2o"	"H2Ot"
"s0001"	"h2o"	"H2Ot"
"b0875"	"h2o(e)"	"H2Ot"
"s0001"	"h2o(e)"	"H2Ot"
"b1136"	"akg"	"ICDHyr"
"b1136"	"co2"	"ICDHyr"
"b1136"	"icit"	"ICDHyr"
"b1136"	"nadp"	"ICDHyr"
"b1136"	"nadph"	"ICDHyr"
"b4015"	"glx"	"ICL"
"b4015"	"icit"	"ICL"
"b4015"	"succ"	"ICL"
"b1380"	"h"	"LDH_D"
"b2133"	"h"	"LDH_D"
"b1380"	"lac-D"	"LDH_D"
"b2133"	"lac-D"	"LDH_D"
"b1380"	"nad"	"LDH_D"
"b2133"	"nad"	"LDH_D"
"b1380"	"nadh"	"LDH_D"
"b2133"	"nadh"	"LDH_D"
"b1380"	"pyr"	"LDH_D"
"b2133"	"pyr"	"LDH_D"
"b2976"	"accoa"	"MALS"
"b4014"	"accoa"	"MALS"
"b2976"	"coa"	"MALS"
"b4014"	"coa"	"MALS"
"b2976"	"glx"	"MALS"
"b4014"	"glx"	"MALS"
"b2976"	"h2o"	"MALS"
"b4014"	"h2o"	"MALS"
"b2976"	"h"	"MALS"
"b4014"	"h"	"MALS"
"b2976"	"mal-L"	"MALS"
"b4014"	"mal-L"	"MALS"
"b3528"	"h"	"MALt2_2"
"b3528"	"h(e)"	"MALt2_2"
"b3528"	"mal-L"	"MALt2_2"
