node1	node2
b1199	Dihydroxyacetone
b1198	Dihydroxyacetone
b2415	Dihydroxyacetone
b2416	Dihydroxyacetone
b1200	Dihydroxyacetone phosphate
b1199	Dihydroxyacetone phosphate
b1198	Dihydroxyacetone phosphate
b2415	Dihydroxyacetone phosphate
b2416	Dihydroxyacetone phosphate
b1200	Phosphoenolpyruvate
b1199	Phosphoenolpyruvate
b1198	Phosphoenolpyruvate
b2415	Phosphoenolpyruvate
b2416	Phosphoenolpyruvate
b0494	H2O
b0494	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)
b0494	tetradecanoate (n-C14:0)
b0494	H+
b0494	sn-Glycero-3-phosphoethanolamine
ferroxamine exchange	ferroxamine
b2323	acyl carrier protein
b1095	acyl carrier protein
b2323	3-Oxohexadecanoyl-[acyl-carrier protein]
b1095	3-Oxohexadecanoyl-[acyl-carrier protein]
b2323	Myristoyl-ACP (n-C14:0ACP)
b1095	Myristoyl-ACP (n-C14:0ACP)
b2323	CO2
b1095	CO2
b2323	Malonyl-[acyl-carrier protein]
b1095	Malonyl-[acyl-carrier protein]
b2323	H+
b1095	H+
b2801	H+
b2801	L-Fucose
b2801	H+
b2801	L-Fucose
b1876	AMP
b1876	tRNA(Arg)
b1876	Diphosphate
b1876	L-Arginyl-tRNA(Arg)
b1876	ATP
b1876	L-Arginine
b2920	Propionate (n-C3:0)
b2920	Succinyl-CoA
b2920	Succinate
b2920	Propanoyl-CoA
b1684	SufBCD scaffold complex
b1683	SufBCD scaffold complex
b1682	SufBCD scaffold complex
b1681	SufBCD scaffold complex
b1684	H+
b1683	H+
b1682	H+
b1681	H+
b1684	[2Fe-2S] iron-sulfur cluster
b1683	[2Fe-2S] iron-sulfur cluster
b1682	[2Fe-2S] iron-sulfur cluster
b1681	[2Fe-2S] iron-sulfur cluster
b1684	SufBCD with bound [2Fe-2S] cluster
b1683	SufBCD with bound [2Fe-2S] cluster
b1682	SufBCD with bound [2Fe-2S] cluster
b1681	SufBCD with bound [2Fe-2S] cluster
s0001	CO2
s0001	CO2
b0507	Glyoxylate
b0507	CO2
b0507	2-Hydroxy-3-oxopropanoate
b0507	H+
b0198	L-Methionine
b0199	L-Methionine
b0197	L-Methionine
b0198	H+
b0199	H+
b0197	H+
b0198	Phosphate
b0199	Phosphate
b0197	Phosphate
b0198	ATP
b0199	ATP
b0197	ATP
b0198	ADP
b0199	ADP
b0197	ADP
b0198	L-Methionine
b0199	L-Methionine
b0197	L-Methionine
b0198	H2O
b0199	H2O
b0197	H2O
s0001	Ethanol
s0001	Ethanol
b2744	Inosine
b0480	Inosine
b4055	Inosine
b2744	IMP
b0480	IMP
b4055	IMP
b2744	H2O
b0480	H2O
b4055	H2O
b2744	Phosphate
b0480	Phosphate
b4055	Phosphate
b3805	Ammonium
b3805	Hydroxymethylbilane
b3805	Porphobilinogen
b3805	H2O
