node1	node2	score
b1076	b1945	5.32666033675185
b0721	b0724	5.32594205324111
b1199	b1200	5.3253111749672
b1263	b1264	5.32349864871895
b0723	b0727	5.32343866234929
b0014	b0015	5.32073616214752
b2242	b2243	5.32037468373613
b1073	b1945	5.32032400972941
b0722	b0724	5.31976847428803
b2204	b2205	5.31797510898159
b3304	b3306	5.31746382137352
b2092	b2094	5.31544143304771
b1074	b1078	5.31530568453489
b1075	b1077	5.31482758660041
b2277	b2278	5.31396652601952
b1260	b1261	5.30866590493508
b3317	b3318	5.30848234667114
b3318	b3320	5.3064269598109
b1925	b1926	5.30501826276812
b2025	b2026	5.30487616247698
b1082	b1924	5.30443119443202
b1924	b1925	5.30345342709148
b1079	b1080	5.30078981218302
b1073	b1922	5.30005359683603
b2279	b2284	5.29748413636231
b2763	b2764	5.29620793732873
b2762	b2763	5.29620745603432
b1260	b1262	5.2961063273929
b1073	b1944	5.29573312802644
b1080	b1945	5.29339734017586
b1078	b1082	5.2932708443089
b2021	b2022	5.28978737873412
b2904	b2905	5.28721271438793
b0595	b0596	5.28619706338055
b1074	b1944	5.28595716876586
b1262	b1263	5.28523114781356
b1074	b1077	5.28514960037099
b3732	b3735	5.28360158061403
b3313	b3314	5.28329730702733
b1921	b1922	5.28292253832223
b2203	b2204	5.28081515627136
b0726	b0729	5.28045818516501
b1076	b1921	5.28013965449293
b0114	b0115	5.27988576245255
b4033	b4036	5.27960202515884
b0724	b0727	5.27540496329853
b1075	b1945	5.27345282230996
b1003	b1004	5.272565811584
b4032	b4037	5.2710612246059
b1245	b1246	5.27014880462091
b1074	b1945	5.27000922594282
b3315	b3317	5.26937221942036
b1939	b1940	5.26910608274205
b1074	b1922	5.26883106995033
b3308	b3309	5.26738551315226
b1888	b1889	5.26609199838237
b1078	b1080	5.26596324538615
b1070	b1071	5.26492794722287
b0429	b0431	5.26281155289817
b1941	b1942	5.26208274886234
b3303	b3304	5.26151033267645
b1244	b1246	5.26122811730092
b1945	b1946	5.25622635050857
b3255	b3256	5.2542619370946
b3318	b3319	5.25255339925641
b1224	b1225	5.25213769956316
b2751	b2752	5.25188745854556
b3315	b3318	5.25148528112109
b1886	b1887	5.25081425970548
b4033	b4034	5.25030261456255
b1073	b1921	5.24723405548262
b3339	b3980	5.24688148538964
b1078	b1945	5.24435559698216
b1077	b1945	5.24347976729223
b1076	b1922	5.24145467144999
b1885	b1886	5.24089693014557
b1944	b1946	5.23813540788842
b4244	b4245	5.23754621098556
b0429	b0432	5.23646834540038
b2415	b2416	5.23599233432836
b1941	b1945	5.23594431067443
b1075	b1922	5.23547694433142
b1082	b1926	5.23498681928647
b1074	b1921	5.2344240724506
b1246	b1247	5.23393821813623
b1075	b1921	5.23323684865512
b3733	b3735	5.23308239084699
b1072	b1075	5.23263909419757
b0721	b0726	5.23180258493642
b3316	b3318	5.23087885828733
b1076	b1080	5.23059144099697
b2204	b2206	5.22886376828477
b1076	b1923	5.22805685995826
b1076	b1944	5.22774314516188
b4005	b4006	5.22685643968637
b1080	b1941	5.2265983534865
b3984	b3985	5.2248432208553
b1925	b3525	5.22155330423059
b2762	b2764	5.22091851080043
b1071	b1924	5.22082744078062
b1076	b1924	5.21932814758885
b1261	b1262	5.219214730911
b1939	b1945	5.21889644528508
b1881	b1924	5.2188816040112
b2278	b2282	5.21723594757158
b1082	b1881	5.21722358325477
b3314	b3317	5.21620740715007
b2091	b2094	5.21511783812945
b1940	b1945	5.21495719090831
b1922	b1923	5.21441785516086
b1072	b1073	5.21384354521046
b1923	b1924	5.21377185776903
b1079	b1945	5.212418747955
b3958	b3959	5.21193271324836
