"node1","node2","Uni_N1","Uni_N2"
"eco:b2839","eco:b3961","P03030","P0ACQ4"
"eco:b0629","eco:b3961","P30979","P0ACQ4"
"eco:b3105","eco:b3961","P67660","P0ACQ4"
"eco:b1328","eco:b3961","P77333","P0ACQ4"
"eco:b0254","eco:b3961","Q57083","P0ACQ4"
"eco:b1659","eco:b3961","P0ACR2","P0ACQ4"
"eco:b3060","eco:b3961","P45463","P0ACQ4"
"eco:b3773","eco:b3961","P05827","P0ACQ4"
"eco:b3711","eco:b3961","P31463","P0ACQ4"
"eco:b3521","eco:b3961","P37641","P0ACQ4"
"eco:b2157","eco:b3961","P0ACR4","P0ACQ4"
"eco:b0768","eco:b3961","P52696","P0ACQ4"
"eco:b2409","eco:b3961","P0ACR7","P0ACQ4"
"eco:b2289","eco:b3961","P36771","P0ACQ4"
"eco:b3118","eco:b3961","P0ACQ7","P0ACQ4"
"eco:b2405","eco:b3961","P23841","P0ACQ4"
"eco:b2808","eco:b3961","P0A9F6","P0ACQ4"
"eco:b0504","eco:b3961","P0ACR0","P0ACQ4"
"eco:b1987","eco:b3961","Q47083","P0ACQ4"
"eco:b1422","eco:b3961","P77171","P0ACQ4"
"eco:b2916","eco:b3961","P0A8S1","P0ACQ4"
"eco:b1595","eco:b3961","P77559","P0ACQ4"
"eco:b1339","eco:b3961","P77744","P0ACQ4"
"eco:b2364","eco:b3961","P46068","P0ACQ4"
"eco:b3828","eco:b3961","P0A9F9","P0ACQ4"
"eco:b2711","eco:b3962","P37596","P27306"
"eco:b2542","eco:b3962","P77650","P27306"
"eco:b1109","eco:b3962","P00393","P27306"
"eco:b1618","eco:b3963","P0ACT6","P0ACU5"
"eco:b1649","eco:b3963","P67430","P0ACU5"
"eco:b1111","eco:b3963","P75952","P0ACU5"
"eco:b0313","eco:b3963","P17446","P0ACU5"
"eco:b0796","eco:b3963","P0ACU0","P0ACU5"
"eco:b3264","eco:b3963","P0ACT2","P0ACU5"
"eco:b3641","eco:b3963","P0C093","P0ACU5"
"eco:b0464","eco:b3963","P0ACS9","P0ACU5"
"eco:b0846","eco:b3963","P75811","P0ACU5"
"eco:b1013","eco:b3963","P0ACU2","P0ACU5"
"eco:b1451","eco:b3966","P76115","P06129"
"eco:b1495","eco:b3966","P31827","P06129"
"eco:b2155","eco:b3966","P17315","P06129"
"eco:b2928","eco:b3974","P11664","P0A6I3"
"eco:b3339","eco:b3980","P0CE47","P0CE48"
"eco:b3800","eco:b3990","P25550","P30140"
"eco:b2777","eco:b3990","P64554","P30140"
"eco:b1497","eco:b3990","P76134","P30140"
"eco:b2812","eco:b3992","Q46927","P30138"
"eco:b3397","eco:b3996","P45799","P32664"
"eco:b2299","eco:b3996","P65556","P32664"
"eco:b1712","eco:b4000","P0A6X7","P0ACF0"
"eco:b0912","eco:b4000","P0A6Y1","P0ACF0"
"eco:b0440","eco:b4000","P0ACF4","P0ACF0"
"eco:b0993","eco:b4003","P39453","P14377"
"eco:b3404","eco:b4003","P0AEJ4","P14377"
"eco:b1968","eco:b4003","P76339","P14377"
"eco:b2370","eco:b4003","P30855","P14377"
"eco:b2786","eco:b4003","P0AEC5","P14377"
"eco:b2218","eco:b4003","P0DMC5","P14377"
"eco:b2219","eco:b4003","Q06067","P14377"
"eco:b1129","eco:b4003","P23837","P14377"
"eco:b2078","eco:b4003","P30847","P14377"
"eco:b3869","eco:b4003","P0AFB5","P14377"
"eco:b3911","eco:b4003","P0AE82","P14377"
"eco:b0570","eco:b4003","P77485","P14377"
"eco:b2556","eco:b4003","P52101","P14377"
"eco:b1609","eco:b4003","P18392","P14377"
"eco:b3026","eco:b4003","P40719","P14377"
"eco:b0695","eco:b4003","P21865","P14377"
"eco:b0400","eco:b4003","P08400","P14377"
"eco:b3210","eco:b4003","P0AEC3","P14377"
"eco:b1235","eco:b4004","P0AEV1","P14375"
"eco:b3868","eco:b4004","P0AFB8","P14375"
"eco:b2554","eco:b4004","P0AFU4","P14375"
"eco:b2220","eco:b4004","Q06065","P14375"
"eco:b0620","eco:b4004","P0AEF4","P14375"
"eco:b1882","eco:b4004","P0AE67","P14375"
"eco:b2434","eco:b4012","P76539","P09163"
"eco:b1932","eco:b4012","P76319","P09163"
"eco:b3888","eco:b4012","P0ADQ2","P09163"
"eco:b1584","eco:b4012","P0A951","P09163"
"eco:b0618","eco:b4012","P77390","P09163"
"eco:b2474","eco:b4012","P76562","P09163"
"eco:b3441","eco:b4012","P46854","P09163"
"eco:b0234","eco:b4012","Q47158","P09163"
"eco:b3459","eco:b4012","P37613","P09163"
"eco:b2267","eco:b4012","P0AEH3","P09163"
"eco:b3550","eco:b4012","P37664","P09163"
"eco:b2584","eco:b4012","P76594","P09163"
"eco:b1427","eco:b4012","P13857","P09163"
"eco:b3156","eco:b4012","P63417","P09163"
"eco:b2818","eco:b4012","P0A6C5","P09163"
"eco:b1448","eco:b4012","P76112","P09163"
"eco:b3790","eco:b4012","P27832","P09163"
"eco:b1066","eco:b4012","P0A948","P09163"
"eco:b0318","eco:b4017","P77736","P23325"
"eco:b0506","eco:b4018","P0ACN4","P16528"
"eco:b3574","eco:b4018","P37671","P16528"
"eco:b0346","eco:b4018","P77569","P16528"
"eco:b0272","eco:b4018","P77300","P16528"
"eco:b1827","eco:b4018","P76268","P16528"
"eco:b2248","eco:b4018","P77732","P16528"
"eco:b0261","eco:b4019","Q47690","P13009"
"eco:b0528","eco:b4022","P0AAS7","P32684"
"eco:b1135","eco:b4022","P75966","P32684"
"eco:b3400","eco:b4022","P0ACG8","P32684"
"eco:b2183","eco:b4022","P0AA43","P32684"
"eco:b1269","eco:b4022","P37765","P32684"
"eco:b0986","eco:b4027","P75884","P32687"
"eco:b0985","eco:b4028","P75883","P32688"
"eco:b0984","eco:b4029","P75882","P32689"
"eco:b2841","eco:b4031","P0AE24","P0AGF4"
"eco:b2771","eco:b4031","Q46909","P0AGF4"
"eco:b1769","eco:b4031","P38055","P0AGF4"
"eco:b2943","eco:b4031","P0AEP1","P0AGF4"
"eco:b0045","eco:b4031","P31679","P0AGF4"
"eco:b1293","eco:b4032","P0AGH3","P68183"
"eco:b3452","eco:b4032","P10905","P68183"
"eco:b2130","eco:b4032","P33361","P68183"
"eco:b0934","eco:b4032","P75851","P68183"
