"node1","node2","Uni_N1","Uni_N2"
"eco:b2684","eco:b4337","P0ACR9","P39386"
"eco:b0029","eco:b4337","P62623","P39386"
"eco:b3935","eco:b4337","P17888","P39386"
"eco:b2038","eco:b4337","P37745","P39386"
"eco:b0463","eco:b4337","P0AE06","P39386"
"eco:b1317","eco:b4337","P77366","P39386"
"eco:b4161","eco:b4346","P39286","P15005"
"eco:b3183","eco:b4346","P42641","P15005"
"eco:b2569","eco:b4346","P60785","P15005"
"eco:b2511","eco:b4346","P0A6P5","P15005"
"eco:b0160","eco:b4346","P15723","P15005"
"eco:b3464","eco:b4346","P10121","P15005"
"eco:b2173","eco:b4346","P33030","P15005"
"eco:b2610","eco:b4346","P0AGD7","P15005"
"eco:b3590","eco:b4346","P14081","P15005"
"eco:b2727","eco:b4346","P0AAN3","P15005"
"eco:b2918","eco:b4346","P27254","P15005"
"eco:b2566","eco:b4346","P06616","P15005"
"eco:b2011","eco:b4346","A0A0G3HGF9","P15005"
"eco:b2751","eco:b4346","P23845","P15005"
"eco:b2011","eco:b4346","P04995","P15005"
"eco:b3168","eco:b4346","P0A705","P15005"
"eco:b2830","eco:b4347","P0A776","P39394"
"eco:b4255","eco:b4347","P0AF90","P39394"
"eco:b0225","eco:b4347","Q47149","P39394"
"eco:b1563","eco:b4347","P0C077","P39394"
"eco:b2630","eco:b4347","P52129","P39394"
"eco:b0231","eco:b4351","Q47155","P24202"
"eco:b1183","eco:b4351","P0AG11","P24202"
"eco:b3645","eco:b4351","P23840","P24202"
"eco:b4043","eco:b4351","P0A7C2","P24202"
"eco:b2699","eco:b4351","P0A7G6","P24202"
"eco:b1061","eco:b4351","P0ABR1","P24202"
"eco:b2616","eco:b4351","P05824","P24202"
"eco:b3701","eco:b4361","P0A988","P0AEF0"
"eco:b0467","eco:b4362","P23862","P0A8J2"
"eco:b3935","eco:b4362","P17888","P0A8J2"
"eco:b3387","eco:b4362","P0AEE8","P0A8J2"
"eco:b0640","eco:b4362","P28630","P0A8J2"
"eco:b0892","eco:b4362","P0AAZ4","P0A8J2"
"eco:b1099","eco:b4362","P28631","P0A8J2"
"eco:b0060","eco:b4362","P21189","P0A8J2"
"eco:b3863","eco:b4362","P00582","P0A8J2"
"eco:b3048","eco:b4365","P76656","P0ADD7"
"eco:b1967","eco:b4365","P31658","P0ADD7"
"eco:b0047","eco:b4365","P03819","P0ADD7"
"eco:b1407","eco:b4365","P25907","P0ADD7"
"eco:b1019","eco:b4367","P31545","P39405"
"eco:b3070","eco:b4367","Q46871","P39405"
"eco:b0948","eco:b4371","P75864","P39406"
"eco:b1835","eco:b4371","P76273","P39406"
"eco:b0859","eco:b4371","P75817","P39406"
"eco:b0082","eco:b4371","P60390","P39406"
"eco:b3499","eco:b4371","P37634","P39406"
"eco:b0636","eco:b4371","P0A8I8","P39406"
"eco:b0807","eco:b4371","P75782","P39406"
"eco:b3084","eco:b4371","P42596","P39406"
"eco:b2946","eco:b4371","P0AGL7","P39406"
"eco:b1822","eco:b4371","P36999","P39406"
"eco:b0967","eco:b4371","P75876","P39406"
"eco:b3497","eco:b4371","P68567","P39406"
"eco:b3289","eco:b4371","P36929","P39406"
"eco:b0051","eco:b4371","P06992","P39406"
"eco:b3465","eco:b4371","P0ADX9","P39406"
"eco:b3740","eco:b4371","P0A6U5","P39406"
"eco:b2517","eco:b4371","P36979","P39406"
