node1	node2	score
b2163	b3357	4.67275379959722
b2319	b3433	4.67218142412923
b0724	b4153	4.67209570792096
b2933	b3599	4.67159823750342
b2882	b2888	4.67108830836353
b0599	b3945	4.66826863513603
b1341	b1489	4.66758500779143
b2582	b3781	4.66731984415908
b0464	b3264	4.66715769083606
b0709	b1634	4.66641514886073
b0709	b4130	4.66641514886073
b1634	b4130	4.66641514886073
b2716	b2901	4.6656295392404
b2716	b3721	4.6656295392404
b2901	b3721	4.6656295392404
b0894	b1587	4.66533540554138
b0894	b1588	4.66533540554138
b1587	b1588	4.66533540554138
b0291	b1372	4.66518195222664
b1372	b1547	4.66518195222664
b0465	b2924	4.66434236043789
b1330	b2924	4.66434236043789
b2924	b4159	4.66434236043789
b2096	b3137	4.6639995131199
b0268	b4298	4.66398081644512
b0184	b1034	4.6637475114627
b0184	b1266	4.6637475114627
b0285	b2880	4.66305533500118
b2867	b2880	4.66305533500118
b0800	b1263	4.66204058297133
b0207	b3012	4.66159287386954
b0709	b3496	4.66155036884287
b1634	b3496	4.66155036884287
b3496	b4130	4.66155036884287
b2278	b2484	4.66088734361138
b0355	b2154	4.66072432311094
b0388	b3390	4.66072432311094
b0973	b2994	4.66072432311094
b0983	b2062	4.66072432311094
b2121	b3745	4.66072432311094
b3437	b4268	4.66072432311094
b3528	b4077	4.66072432311094
b0440	b4000	4.66070492000177
b0497	b0700	4.66070492000177
b0497	b3482	4.66070492000177
b0497	b3593	4.66070492000177
b0700	b3482	4.66070492000177
b0700	b3593	4.66070492000177
b3482	b3593	4.66070492000177
b0042	b2769	4.66041592039185
b1698	b2769	4.66041592039185
b2438	b2457	4.65983628114642
b0972	b2997	4.65971010027719
b0570	b1968	4.65872404166712
b2468	b2887	4.6581332701577
b0150	b0584	4.65657731328931
b0150	b1102	4.65657731328931
b0584	b1102	4.65657731328931
b1257	b1258	4.65504209328731
b1302	b2662	4.6547940742051
b2167	b3899	4.65464908521093
b1325	b1581	4.6513151655694
b1325	b2247	4.6513151655694
b1325	b2788	4.6513151655694
b1325	b4478	4.6513151655694
b1581	b2247	4.6513151655694
b1581	b2788	4.6513151655694
b1581	b4478	4.6513151655694
b2247	b2788	4.6513151655694
b2247	b4478	4.6513151655694
b2788	b4478	4.6513151655694
b0811	b0860	4.65084141869495
b0778	b1593	4.64898846204249
b1226	b1466	4.64898846204249
b3347	b4207	4.64898846204249
b0650	b2069	4.64896644689981
b3582	b4197	4.64759148828352
b2708	b3197	4.6454000309096
b0410	b1159	4.64501129706806
b1101	b2715	4.64501129706806
b1234	b4377	4.64501129706806
b1621	b2715	4.64501129706806
b2715	b4240	4.64501129706806
b3091	b3128	4.64501129706806
b0509	b2736	4.64441822120923
b0509	b3882	4.64441822120923
b2736	b3125	4.64441822120923
b3125	b3882	4.64441822120923
b1392	b3844	4.64333414921376
b1135	b1269	4.64326525858602
b1135	b2183	4.64326525858602
b1135	b4022	4.64326525858602
b0800	b4382	4.64320929999525
b2552	b3844	4.64107018046179
b0061	b3583	4.64028804199664
b2532	b4403	4.64028804199664
b0040	b0314	4.64026397159999
b0040	b1801	4.64026397159999
b0155	b1592	4.64026397159999
b0284	b2866	4.64026397159999
b0314	b1801	4.64026397159999
b2009	b3023	4.64026397159999
b2282	b2483	4.64026397159999
b2282	b2722	4.64026397159999
b2483	b2722	4.64026397159999
b3133	b3138	4.64026397159999
b3150	b4376	4.64026397159999
b0855	b1126	4.64014477787133
b0414	b2559	4.63959980861503
b2143	b2559	4.63959980861503
b0607	b1376	4.63958762726773
b1202	b2000	4.63860243215628
b2000	b2647	4.63860243215628
b0679	b2715	4.63723687279467
b2715	b3722	4.63723687279467
b1145	b1183	4.63609180541118
b0320	b0518	4.63558247265713
b0047	b0478	4.63381686778145
b1476	b3892	4.63357046068325
b2039	b3789	4.63357046068325
b1317	b2690	4.6334824296181
b0741	b3552	4.63275359565544
b0150	b4291	4.63115181144629
b0584	b4291	4.63115181144629
b1102	b4291	4.63115181144629
b0009	b0782	4.63026155418698
b0009	b0827	4.63026155418698
b0439	b0955	4.62934671550127
b1816	b2063	4.62902231659938
b3666	b3667	4.62899544969359
b0731	b2167	4.62884432927145
b0731	b3899	4.62884432927145
b0084	b0635	4.62834493682319
b0268	b2478	4.62793945494756
b0268	b3225	4.62793945494756
b2478	b4298	4.62793945494756
b3225	b4298	4.62793945494756
b3656	b3878	4.62747806651234
b0895	b1589	4.62583041901803
b2009	b4396	4.62512699779505
b3023	b4396	4.62512699779505
b0465	b0808	4.62464833724629
b0808	b1330	4.62464833724629
b0808	b4159	4.62464833724629
b0483	b1477	4.623930223505
b1518	b3029	4.62384560490464
b1757	b2521	4.62384560490464
b1337	b1338	4.62377516613645
b0440	b0912	4.62375035054657
b0440	b1712	4.62375035054657
b0912	b4000	4.62375035054657
b1015	b3679	4.62375035054657
b1712	b4000	4.62375035054657
b3258	b3679	4.62375035054657
b3679	b4067	4.62375035054657
b0077	b0871	4.62348394296914
b0871	b3671	4.62348394296914
b1502	b4320	4.62282500924162
b1872	b3551	4.6225029550565
b0478	b3350	4.62131619132129
b1838	b2734	4.6202305096354
b2467	b3034	4.62009585490943
b2665	b3150	4.62003857342155
b2665	b4376	4.62003857342155
b0571	b1969	4.62000583124364
b2041	b3788	4.6199383691651
b0754	b1704	4.61970409136842
b0754	b2601	4.61970409136842
b1704	b2601	4.61970409136842
b2398	b2399	4.61914567344973
b1393	b2919	4.61781163030592
b0957	b3552	4.61493727147411
b0841	b1278	4.61454263674392
b0841	b2174	4.61454263674392
b1278	b2174	4.61454263674392
b2742	b3613	4.61230683706681
b2865	b3613	4.61230683706681
b3546	b3955	4.61202645860617
b3546	b4114	4.61202645860617
b3955	b4114	4.61202645860617
b0797	b2576	4.61050845466028
b0797	b3780	4.61050845466028
b2576	b3780	4.61050845466028
b1116	b1118	4.608724835085
b0014	b0650	4.60869654659164
b0014	b2069	4.60869654659164
b0650	b2526	4.60869654659164
b2069	b2526	4.60869654659164
b0485	b1524	4.60858198918501
b0824	b4379	4.60820939760369
b1809	b3113	4.60591462452016
b1809	b4243	4.60591462452016
b2000	b2233	4.60386454348381
b2125	b2381	4.60331512201794
b0824	b3952	4.60299934405279
b2140	b3260	4.60272039211675
b2140	b4049	4.60272039211675
b1202	b1664	4.60197460942617
b1664	b2647	4.60197460942617
b0441	b3775	4.60160783301749
b1145	b4043	4.60096910084395
b0341	b1791	4.60008573618741
b2322	b3473	4.60008573618741
b0997	b1872	4.59922078106222
b1723	b2168	4.5975260559705
b0155	b2389	4.59749502053942
