"node1","node2","Uni_N1","Uni_N2"
"eco:b0048","eco:b0424","P0ABQ4","Q46948"
"eco:b0394","eco:b0426","P23917","P0A8E7"
"eco:b0330","eco:b0427","P77743","P77726"
"eco:b0162","eco:b0427","P37047","P77726"
"eco:b0285","eco:b0427","P77324","P77726"
"eco:b0117","eco:b0435","P36682","P0ABE2"
"eco:b0219","eco:b0436","Q47679","P0A850"
"eco:b0386","eco:b0436","P0A9L8","P0A850"
"eco:b0134","eco:b0436","P31057","P0A850"
"eco:b0214","eco:b0436","P0A7Y4","P0A850"
"eco:b0072","eco:b0436","P0A6A6","P0A850"
"eco:b0169","eco:b0436","P0A7V0","P0A850"
"eco:b0014","eco:b0436","P0A6Y8","P0A850"
"eco:b0394","eco:b0436","P23917","P0A850"
"eco:b0049","eco:b0436","P05637","P0A850"
"eco:b0161","eco:b0437","P0C0V0","P0A6G7"
"eco:b0214","eco:b0437","P0A7Y4","P0A6G7"
"eco:b0047","eco:b0437","P03819","P0A6G7"
"eco:b0328","eco:b0437","P75693","P0A6G7"
"eco:b0214","eco:b0438","P0A7Y4","P0A6H1"
"eco:b0098","eco:b0439","P10408","P0A9M0"
"eco:b0178","eco:b0439","P0AEU7","P0A9M0"
"eco:b0014","eco:b0439","P0A6Y8","P0A9M0"
"eco:b0169","eco:b0439","P0A7V0","P0A9M0"
"eco:b0015","eco:b0439","P08622","P0A9M0"
"eco:b0049","eco:b0440","P05637","P0ACF4"
"eco:b0406","eco:b0440","P0A847","P0ACF4"
"eco:b0386","eco:b0440","P0A9L8","P0ACF4"
"eco:b0023","eco:b0440","P0A7U7","P0ACF4"
"eco:b0405","eco:b0440","P0A7F9","P0ACF4"
"eco:b0015","eco:b0440","P08622","P0ACF4"
"eco:b0115","eco:b0440","P06959","P0ACF4"
"eco:b0178","eco:b0440","P0AEU7","P0ACF4"
"eco:b0376","eco:b0440","P0AD70","P0ACF4"
"eco:b0098","eco:b0440","P10408","P0ACF4"
"eco:b0169","eco:b0440","P0A7V0","P0ACF4"
"eco:b0185","eco:b0440","P0ABD5","P0ACF4"
"eco:b0116","eco:b0440","P0A9P0","P0ACF4"
"eco:b0393","eco:b0440","P36767","P0ACF4"
"eco:b0167","eco:b0450","P27249","P0AC55"
"eco:b0088","eco:b0450","P14900","P0AC55"
"eco:b0450","eco:b0451","P0AC55","P69681"
"eco:b0408","eco:b0452","P0AG90","P0AGG2"
"eco:b0023","eco:b0453","P0A7U7","P77717"
"eco:b0095","eco:b0453","P0A9A6","P77717"
"eco:b0306","eco:b0456","P77252","P0AAQ6"
"eco:b0168","eco:b0459","P0AE18","P77791"
"eco:b0107","eco:b0459","P36645","P77791"
"eco:b0221","eco:b0460","Q47146","P0ACE3"
"eco:b0098","eco:b0465","P10408","P77338"
"eco:b0119","eco:b0465","P0A8E5","P77338"
"eco:b0375","eco:b0467","P0AAP5","P23862"
"eco:b0381","eco:b0469","P0A6J8","P69503"
"eco:b0173","eco:b0469","P45568","P69503"
"eco:b0184","eco:b0470","P10443","P06710"
"eco:b0416","eco:b0470","P0A780","P06710"
"eco:b0215","eco:b0470","P03007","P06710"
"eco:b0140","eco:b0471","P33128","P0A8B5"
"eco:b0014","eco:b0473","P0A6Y8","P0A6Z3"
"eco:b0439","eco:b0473","P0A9M0","P0A6Z3"
"eco:b0285","eco:b0473","P77324","P0A6Z3"
"eco:b0169","eco:b0474","P0A7V0","P69441"
"eco:b0438","eco:b0474","P0A6H1","P69441"
"eco:b0049","eco:b0474","P05637","P69441"
"eco:b0436","eco:b0474","P0A850","P69441"
"eco:b0431","eco:b0474","P0ABI8","P69441"
"eco:b0177","eco:b0477","P0A940","P0AEW6"
"eco:b0408","eco:b0477","P0AG90","P0AEW6"
"eco:b0133","eco:b0480","P31663","P07024"
"eco:b0481","eco:b0482","P0AAR3","P77301"
"eco:b0436","eco:b0485","P0A850","P77454"
"eco:b0313","eco:b0487","P17446","P0A9G4"
"eco:b0115","eco:b0489","P06959","P0AA53"
"eco:b0029","eco:b0490","P62623","P77279"
"eco:b0122","eco:b0493","P0AA95","P0AFP4"
"eco:b0440","eco:b0493","P0ACF4","P0AFP4"
"eco:b0492","eco:b0493","P77395","P0AFP4"
"eco:b0346","eco:b0506","P77569","P0ACN4"
"eco:b0037","eco:b0506","P31552","P0ACN4"
"eco:b0026","eco:b0506","P00956","P0ACN4"
"eco:b0492","eco:b0512","P77395","P77671"
"eco:b0493","eco:b0512","P0AFP4","P77671"
"eco:b0509","eco:b0514","P77161","P77364"
"eco:b0512","eco:b0514","P77671","P77364"
"eco:b0504","eco:b0516","P0ACR0","P77425"
"eco:b0516","eco:b0518","P77425","Q47208"
"eco:b0161","eco:b0523","P0C0V0","P0AG18"
"eco:b0515","eco:b0525","P75713","P23869"
"eco:b0440","eco:b0528","P0ACF4","P0AAS7"
"eco:b0015","eco:b0528","P08622","P0AAS7"
"eco:b0143","eco:b0528","P0ABF1","P0AAS7"
"eco:b0023","eco:b0528","P0A7U7","P0AAS7"
"eco:b0169","eco:b0528","P0A7V0","P0AAS7"
"eco:b0115","eco:b0528","P06959","P0AAS7"
"eco:b0306","eco:b0529","P77252","P24186"
"eco:b0177","eco:b0529","P0A940","P24186"
"eco:b0049","eco:b0530","P05637","P0ABW5"
"eco:b0092","eco:b0530","P07862","P0ABW5"
"eco:b0410","eco:b0532","P0AAQ2","P77468"
"eco:b0043","eco:b0537","P68644","P24218"
"eco:b0415","eco:b0537","P61714","P24218"
"eco:b0049","eco:b0537","P05637","P24218"
"eco:b0023","eco:b0543","P0A7U7","P23895"
"eco:b0172","eco:b0547","P0A805","Q47269"
"eco:b0083","eco:b0550","P0AEN4","P0AG74"
"eco:b0307","eco:b0551","P77536","Q47274"
"eco:b0140","eco:b0551","P33128","Q47274"
"eco:b0461","eco:b0558","P0AAR0","P77598"
"eco:b0467","eco:b0560","P23862","P31062"
"eco:b0109","eco:b0566","P30011","P10805"
"eco:b0473","eco:b0566","P0A6Z3","P10805"
"eco:b0470","eco:b0570","P06710","P77485"
"eco:b0051","eco:b0571","P06992","P0ACZ8"
"eco:b0223","eco:b0575","Q47147","P38054"
"eco:b0566","eco:b0585","P10805","P13039"
"eco:b0043","eco:b0587","P68644","P26266"
"eco:b0346","eco:b0587","P77569","P26266"
"eco:b0006","eco:b0587","P0A8I3","P26266"
"eco:b0311","eco:b0588","P17444","P23878"
"eco:b0158","eco:b0592","P37028","P0AEL6"
"eco:b0441","eco:b0592","P0ADY1","P0AEL6"
"eco:b0588","eco:b0593","P23878","P0AEJ2"
"eco:b0588","eco:b0594","P23878","P10378"
"eco:b0593","eco:b0594","P0AEJ2","P10378"
"eco:b0169","eco:b0595","P0A7V0","P0ADI4"
"eco:b0594","eco:b0595","P10378","P0ADI4"
"eco:b0095","eco:b0599","P0A9A6","P45579"
"eco:b0431","eco:b0600","P0ABI8","P77806"
"eco:b0474","eco:b0600","P69441","P77806"
"eco:b0184","eco:b0600","P10443","P77806"
"eco:b0601","eco:b0602","P77174","P77216"
"eco:b0393","eco:b0602","P36767","P77216"
"eco:b0386","eco:b0605","P0A9L8","P0AE08"
"eco:b0369","eco:b0605","P0ACB2","P0AE08"
"eco:b0394","eco:b0605","P23917","P0AE08"
"eco:b0438","eco:b0605","P0A6H1","P0AE08"
"eco:b0585","eco:b0606","P13039","P35340"
"eco:b0118","eco:b0606","P36683","P35340"
"eco:b0158","eco:b0606","P37028","P35340"
"eco:b0462","eco:b0606","P31224","P35340"
"eco:b0167","eco:b0606","P27249","P35340"
"eco:b0344","eco:b0606","G0ZKW2","P35340"
"eco:b0344","eco:b0606","P00722","P35340"
"eco:b0380","eco:b0607","P0AAQ0","P39177"
"eco:b0184","eco:b0607","P10443","P39177"
"eco:b0098","eco:b0607","P10408","P39177"
"eco:b0119","eco:b0607","P0A8E5","P39177"
"eco:b0015","eco:b0607","P08622","P39177"
"eco:b0307","eco:b0607","P77536","P39177"
"eco:b0237","eco:b0607","P15288","P39177"
"eco:b0551","eco:b0607","Q47274","P39177"
"eco:b0083","eco:b0610","P0AEN4","P0AFW4"
"eco:b0179","eco:b0610","P21645","P0AFW4"
"eco:b0387","eco:b0618","P0A8D3","P77390"
"eco:b0614","eco:b0618","P0A6G5","P77390"
"eco:b0173","eco:b0623","P45568","P0A972"
"eco:b0098","eco:b0623","P10408","P0A972"
"eco:b0417","eco:b0623","P0AGG0","P0A972"
"eco:b0225","eco:b0624","Q47149","P37002"
"eco:b0389","eco:b0627","P0AAN5","P0A843"
"eco:b0564","eco:b0627","P05052","P0A843"
"eco:b0623","eco:b0627","P0A972","P0A843"
"eco:b0436","eco:b0627","P0A850","P0A843"
"eco:b0483","eco:b0628","P0A9T6","P60716"
"eco:b0091","eco:b0628","P17952","P60716"
"eco:b0084","eco:b0629","P0AD68","P30979"
