"node1","node2","Uni_N1","Uni_N2"
"eco:b3421","eco:b4475","P46850","P46849"
"eco:b3422","eco:b4475","P38035","P46849"
"eco:b4264","eco:b4476","P39343","P0AC96"
"eco:b3438","eco:b4476","P0ACP5","P0AC96"
"eco:b1093","eco:b4476","P0AEK2","P0AC96"
"eco:b3415","eco:b4476","P39835","P0AC96"
"eco:b3564","eco:b4476","P09099","P0AC96"
"eco:b4296","eco:b4476","P39357","P0AC96"
"eco:b3580","eco:b4476","P37677","P0AC96"
"eco:b2739","eco:b4476","Q46891","P0AC96"
"eco:b4268","eco:b4476","P39208","P0AC96"
"eco:b2740","eco:b4476","Q46892","P0AC96"
"eco:b4321","eco:b4476","P0AC94","P0AC96"
"eco:b3434","eco:b4476","P67143","P0AC96"
"eco:b0052","eco:b4476","P19624","P0AC96"
"eco:b0272","eco:b4476","P77300","P0AC96"
"eco:b3437","eco:b4476","P46859","P0AC96"
"eco:b4299","eco:b4476","P39360","P0AC96"
"eco:b3755","eco:b4476","P31475","P0AC96"
"eco:b4266","eco:b4476","P0A9P9","P0AC96"
"eco:b1851","eco:b4476","P0ADF6","P0AC96"
"eco:b0508","eco:b4476","P30147","P0AC96"
"eco:b4265","eco:b4476","P39344","P0AC96"
"eco:b1581","eco:b4476","P38104","P0AC96"
"eco:b1511","eco:b4476","P77432","P0AC96"
"eco:b0875","eco:b4476","P60844","P0AC96"
"eco:b3091","eco:b4476","P42604","P0AC96"
"eco:b2774","eco:b4476","P76633","P0AC96"
"eco:b2365","eco:b4476","P08555","P0AC96"
"eco:b3128","eco:b4476","P39829","P0AC96"
"eco:b1581","eco:b4477","P38104","Q6BF16"
"eco:b2247","eco:b4477","P77215","Q6BF16"
"eco:b2661","eco:b4477","P25526","Q6BF16"
"eco:b3526","eco:b4477","P37647","Q6BF16"
"eco:b3693","eco:b4477","P31459","Q6BF16"
"eco:b1850","eco:b4477","P0A955","Q6BF16"
"eco:b0886","eco:b4477","P23886","Q6BF16"
"eco:b2788","eco:b4478","Q46915","Q6BF17"
"eco:b1395","eco:b4478","P76083","Q6BF17"
"eco:b1014","eco:b4478","P09546","Q6BF17"
"eco:b3691","eco:b4478","P0AA76","Q6BF17"
"eco:b0724","eco:b4478","P07014","Q6BF17"
"eco:b2789","eco:b4478","Q46916","Q6BF17"
"eco:b1542","eco:b4478","P77260","Q6BF17"
"eco:b4358","eco:b4478","P39400","Q6BF17"
"eco:b1801","eco:b4478","P0ABD1","Q6BF17"
"eco:b4268","eco:b4478","P39208","Q6BF17"
"eco:b2740","eco:b4478","Q46892","Q6BF17"
