"node1","node2","Uni_N1","Uni_N2"
"eco:b0522","eco:b0523","P09029","P0AG18"
"eco:b0474","eco:b0523","P69441","P0AG18"
"eco:b0181","eco:b0524","P0A722","P43341"
"eco:b0096","eco:b0524","P0A725","P43341"
"eco:b0179","eco:b0524","P21645","P43341"
"eco:b0182","eco:b0524","P10441","P43341"
"eco:b0026","eco:b0526","P00956","P21888"
"eco:b0194","eco:b0526","P16659","P21888"
"eco:b0116","eco:b0529","P0A9P0","P24186"
"eco:b0048","eco:b0529","P0ABQ4","P24186"
"eco:b0570","eco:b0571","P77485","P0ACZ8"
"eco:b0583","eco:b0586","P19925","P11454"
"eco:b0583","eco:b0593","P19925","P0AEJ2"
"eco:b0586","eco:b0593","P11454","P0AEJ2"
"eco:b0583","eco:b0594","P19925","P10378"
"eco:b0593","eco:b0594","P0AEJ2","P10378"
"eco:b0586","eco:b0594","P11454","P10378"
"eco:b0583","eco:b0595","P19925","P0ADI4"
"eco:b0594","eco:b0595","P10378","P0ADI4"
"eco:b0586","eco:b0595","P11454","P0ADI4"
"eco:b0593","eco:b0595","P0AEJ2","P0ADI4"
"eco:b0583","eco:b0596","P19925","P15047"
"eco:b0595","eco:b0596","P0ADI4","P15047"
"eco:b0593","eco:b0596","P0AEJ2","P15047"
"eco:b0586","eco:b0596","P11454","P15047"
"eco:b0594","eco:b0596","P10378","P15047"
"eco:b0613","eco:b0614","P77231","P0A6G5"
"eco:b0613","eco:b0615","P77231","P75726"
"eco:b0614","eco:b0615","P0A6G5","P75726"
"eco:b0613","eco:b0616","P77231","P0A9I1"
"eco:b0615","eco:b0616","P75726","P0A9I1"
"eco:b0614","eco:b0616","P0A6G5","P0A9I1"
"eco:b0614","eco:b0617","P0A6G5","P69330"
"eco:b0615","eco:b0617","P75726","P69330"
"eco:b0616","eco:b0617","P0A9I1","P69330"
"eco:b0613","eco:b0617","P77231","P69330"
"eco:b0619","eco:b0620","P77510","P0AEF4"
"eco:b0115","eco:b0628","P06959","P60716"
"eco:b0115","eco:b0630","P06959","P60720"
"eco:b0628","eco:b0630","P60716","P60720"
"eco:b0109","eco:b0639","P30011","P0A752"
"eco:b0194","eco:b0642","P16659","P07813"
"eco:b0026","eco:b0642","P00956","P07813"
"eco:b0526","eco:b0642","P21888","P07813"
"eco:b0030","eco:b0651","P22564","P41409"
"eco:b0032","eco:b0674","P0A6F1","P22106"
"eco:b0033","eco:b0674","P00968","P22106"
"eco:b0485","eco:b0674","P77454","P22106"
"eco:b0480","eco:b0675","P07024","P0AF24"
"eco:b0677","eco:b0678","P0AF18","P0A759"
"eco:b0194","eco:b0680","P16659","P00962"
"eco:b0526","eco:b0680","P21888","P00962"
"eco:b0642","eco:b0680","P07813","P00962"
"eco:b0026","eco:b0680","P00956","P00962"
"eco:b0523","eco:b0684","P0AG18","P61949"
"eco:b0474","eco:b0684","P69441","P61949"
"eco:b0522","eco:b0684","P09029","P61949"
"eco:b0403","eco:b0688","P21517","P36938"
"eco:b0124","eco:b0688","P15877","P36938"
"eco:b0694","eco:b0695","P21866","P21865"
"eco:b0116","eco:b0720","P0A9P0","P0ABH7"
"eco:b0114","eco:b0720","P0AFG8","P0ABH7"
"eco:b0118","eco:b0720","P36683","P0ABH7"
"eco:b0115","eco:b0720","P06959","P0ABH7"
"eco:b0429","eco:b0721","P0ABJ6","P69054"
"eco:b0432","eco:b0721","P0ABJ1","P69054"
"eco:b0720","eco:b0721","P0ABH7","P69054"
"eco:b0430","eco:b0721","P0ABJ3","P69054"
"eco:b0118","eco:b0721","P36683","P69054"
"eco:b0431","eco:b0721","P0ABI8","P69054"
"eco:b0116","eco:b0721","P0A9P0","P69054"
"eco:b0431","eco:b0722","P0ABI8","P0AC44"
"eco:b0116","eco:b0722","P0A9P0","P0AC44"
"eco:b0432","eco:b0722","P0ABJ1","P0AC44"
"eco:b0720","eco:b0722","P0ABH7","P0AC44"
"eco:b0721","eco:b0722","P69054","P0AC44"
"eco:b0429","eco:b0722","P0ABJ6","P0AC44"
"eco:b0430","eco:b0722","P0ABJ3","P0AC44"
"eco:b0118","eco:b0722","P36683","P0AC44"
"eco:b0116","eco:b0723","P0A9P0","P0AC41"
"eco:b0722","eco:b0723","P0AC44","P0AC41"
"eco:b0118","eco:b0723","P36683","P0AC41"
"eco:b0431","eco:b0723","P0ABI8","P0AC41"
"eco:b0432","eco:b0723","P0ABJ1","P0AC41"
"eco:b0430","eco:b0723","P0ABJ3","P0AC41"
"eco:b0720","eco:b0723","P0ABH7","P0AC41"
"eco:b0721","eco:b0723","P69054","P0AC41"
"eco:b0429","eco:b0723","P0ABJ6","P0AC41"
"eco:b0116","eco:b0724","P0A9P0","P07014"
"eco:b0720","eco:b0724","P0ABH7","P07014"
"eco:b0429","eco:b0724","P0ABJ6","P07014"
"eco:b0722","eco:b0724","P0AC44","P07014"
"eco:b0723","eco:b0724","P0AC41","P07014"
"eco:b0721","eco:b0724","P69054","P07014"
"eco:b0118","eco:b0724","P36683","P07014"
"eco:b0431","eco:b0724","P0ABI8","P07014"
"eco:b0430","eco:b0724","P0ABJ3","P07014"
"eco:b0432","eco:b0724","P0ABJ1","P07014"
"eco:b0722","eco:b0726","P0AC44","P0AFG3"
"eco:b0723","eco:b0726","P0AC41","P0AFG3"
