"network";"DRUG_ID";"Drug1";"Drug2";"SET";"clusters_all";"sigma.rate_all";"type";"clusters_set";"sigma.rate_set";"code_3letter1";"code_3letter2";"drug_cat";"drug_category1";"drug_category2";"categorycategory";"targ";"targeted_cellular_process1";"targeted_cellular_process2";"processprocess";"us";"use1";"use2";"useuse";"ebw";"ecr";"seo";"stm";"pae";"pau";"int_sign_ebw";"int_sign_ecr";"int_sign_seo";"int_sign_stm";"int_sign_pae";"int_sign_pau";"ebw_g";"ecr_g";"seo_g";"stm_g";"pae_g";"pau_g";"sum_g";"SR_ebw_D1";"SR_ecr_D1";"SR_stm_D1";"SR_seo_D1";"SR_pae_D1";"SR_pau_D1";"SR_ebw_D2";"SR_ecr_D2";"SR_stm_D2";"SR_seo_D2";"SR_pae_D2";"SR_pau_D2";"SR_ebw";"SR_ecr";"SR_stm";"SR_seo";"SR_pae";"SR_pau";"SR_score_ebw";"SR_score_ecr";"SR_score_stm";"SR_score_seo";"SR_score_pae";"SR_score_pau";"SR_score_total";"HDC_ebw_D1";"HDC_ecr_D1";"HDC_stm_D1";"HDC_seo_D1";"HDC_pae_D1";"HDC_pau_D1";"LF_ebw_D1";"LF_ecr_D1";"LF_stm_D1";"LF_seo_D1";"LF_pae_D1";"LF_pau_D1";"HDC_ebw_D2";"HDC_ecr_D2";"HDC_stm_D2";"HDC_seo_D2";"HDC_pae_D2";"HDC_pau_D2";"LF_ebw_D2";"LF_ecr_D2";"LF_stm_D2";"LF_seo_D2";"LF_pae_D2";"LF_pau_D2";"mean.path.length";"mean.k.edge";"mean.min.degree";"mean.max.degree";"mean.mean.degree";"max.adjacency";"mean.min.bet";"mean.max.bet";"mean.mean.bet";"mean.min.EVC";"mean.max.EVC";"mean.mean.EVC";"mean.sigma_all";"mean.sigma_set";"connection_onoff"
"Small/medium-scale PPI";"A22-Amoxicillin";"A22";"Amoxicillin";"TRUE";"4";"0,001";"Additivity-Synergy";"2";"0,002";"A22";"AMX";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,144406458";"-0,107771087";"-0,122702154";"-0,089881073";"0,047542801";"-0,133413360";"Synergy";"Additivity";"Additivity";"Additivity";"Additivity";"Synergy";"-1";"0";"0";"0";"0";"-1";"-2";"S";"S";"S";"S";"R";"S";"S";"S";"R";"R";"R";"R";"SS";"SS";"SR";"SR";"RR";"SR";"-1";"-1";"0";"0";"1";"0";"-1";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"3,000";"2,800";"3,000";"6,600";"4,800";"0";"536,814";"5009,930";"2773,372";"0,044";"0,270";"0,157";"0,001";"0,002";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Amoxicillin";"A22";"Amoxicillin";"TRUE";"4";"0,001";"Additivity-Synergy";"2";"0,002";"A22";"AMX";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,144406458";"-0,107771087";"-0,122702154";"-0,089881073";"0,047542801";"-0,133413360";"Synergy";"Additivity";"Additivity";"Additivity";"Additivity";"Synergy";"-1";"0";"0";"0";"0";"-1";"-2";"S";"S";"S";"S";"R";"S";"S";"S";"R";"R";"R";"R";"SS";"SS";"SR";"SR";"RR";"SR";"-1";"-1";"0";"0";"1";"0";"-1";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"1,167";"12,000";"12,000";"53,833";"32,917";"1";"0,000";"19939,870";"9969,935";"0,000";"0,025";"0,013";"0,001";"0,002";"connected"
"Small/medium-scale PPI";"A22-Aztreonam";"A22";"Aztreonam";"TRUE";"14";"0,008";"Additivity-Synergy";"2";"0,002";"A22";"ATM";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,116819962";"-0,239493987";"-0,131668911";"-0,072461879";"0,040283817";"-0,069617853";"Additivity";"Synergy";"Additivity";"Additivity";"Additivity";"Synergy";"0";"-1";"0";"0";"0";"-1";"-2";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"S";"S";"SS";"SS";"SS";"SS";"RS";"SS";"-1";"-1";"-1";"-1";"0";"-1";"-5";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,050";"0,050";"0,050";"0,050";"3,00";"5,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3,000";"2,800";"3,000";"6,600";"4,800";"0";"536,814";"5009,930";"2773,372";"0,044";"0,270";"0,157";"0,008";"0,002";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Aztreonam";"A22";"Aztreonam";"TRUE";"14";"0,008";"Additivity-Synergy";"2";"0,002";"A22";"ATM";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,116819962";"-0,239493987";"-0,131668911";"-0,072461879";"0,040283817";"-0,069617853";"Additivity";"Synergy";"Additivity";"Additivity";"Additivity";"Synergy";"0";"-1";"0";"0";"0";"-1";"-2";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"S";"S";"SS";"SS";"SS";"SS";"RS";"SS";"-1";"-1";"-1";"-1";"0";"-1";"-5";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,050";"0,050";"0,050";"0,050";"3,00";"5,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"1,167";"12,000";"12,000";"53,833";"32,917";"1";"0,000";"19939,870";"9969,935";"0,000";"0,025";"0,013";"0,008";"0,002";"connected"
"Small/medium-scale PPI";"A22-Cefaclor";"A22";"Cefaclor";"TRUE";"14";"0,008";"Additivity-Synergy";"7";"0,009";"A22";"CEC";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,160561269";"-0,110830537";"-0,260404099";"-0,255707450";"-0,031969583";"-0,053619229";"Synergy";"Additivity";"Synergy";"Additivity";"Additivity";"Additivity";"-1";"0";"-1";"0";"0";"0";"-2";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"R";"R";"SS";"SS";"SS";"SS";"RR";"SR";"-1";"-1";"-1";"-1";"1";"0";"-3";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"3,000";"2,800";"3,000";"6,600";"4,800";"0";"536,814";"5009,930";"2773,372";"0,044";"0,270";"0,157";"0,008";"0,009";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Cefaclor";"A22";"Cefaclor";"TRUE";"14";"0,008";"Additivity-Synergy";"7";"0,009";"A22";"CEC";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,160561269";"-0,110830537";"-0,260404099";"-0,255707450";"-0,031969583";"-0,053619229";"Synergy";"Additivity";"Synergy";"Additivity";"Additivity";"Additivity";"-1";"0";"-1";"0";"0";"0";"-2";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"R";"R";"SS";"SS";"SS";"SS";"RR";"SR";"-1";"-1";"-1";"-1";"1";"0";"-3";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"1,167";"12,000";"12,000";"53,833";"32,917";"1";"0,000";"19939,870";"9969,935";"0,000";"0,025";"0,013";"0,008";"0,009";"connected"
"Small/medium-scale PPI";"A22-Cefotaxime";"A22";"Cefotaxime";"TRUE";"14";"0,008";"Additivity-Synergy";"2";"0,002";"A22";"CTX";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,142714926";"-0,179266974";"-0,245271572";"-0,165740597";"-0,073620896";"-0,133296097";"Additivity";"Synergy";"Synergy";"Synergy";"Additivity";"Synergy";"0";"-1";"-1";"-1";"0";"-1";"-4";"S";"S";"S";"S";"R";"S";"S";"S";"R";"R";"S";"R";"SS";"SS";"SR";"SR";"RS";"SR";"-1";"-1";"0";"0";"0";"0";"-2";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,010";"0,010";"0,010";"0,010";"5,00";"5,00";"0,57";"0,39";"0,71";"0,79";"0,00";"0,76";"3,000";"2,800";"3,000";"6,600";"4,800";"0";"536,814";"5009,930";"2773,372";"0,044";"0,270";"0,157";"0,008";"0,002";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Cefotaxime";"A22";"Cefotaxime";"TRUE";"14";"0,008";"Additivity-Synergy";"2";"0,002";"A22";"CTX";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,142714926";"-0,179266974";"-0,245271572";"-0,165740597";"-0,073620896";"-0,133296097";"Additivity";"Synergy";"Synergy";"Synergy";"Additivity";"Synergy";"0";"-1";"-1";"-1";"0";"-1";"-4";"S";"S";"S";"S";"R";"S";"S";"S";"R";"R";"S";"R";"SS";"SS";"SR";"SR";"RS";"SR";"-1";"-1";"0";"0";"0";"0";"-2";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,010";"0,010";"0,010";"0,010";"5,00";"5,00";"0,57";"0,39";"0,71";"0,79";"0,00";"0,76";"1,167";"12,000";"12,000";"53,833";"32,917";"1";"0,000";"19939,870";"9969,935";"0,000";"0,025";"0,013";"0,008";"0,002";"connected"
"Small/medium-scale PPI";"A22-Cephalexin";"A22";"Cephalexin";"FALSE";"10";"0,002";"Additivity";NA;NA;"A22";"LEX";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,075399183";"0,056095773";"0,048970106";"0,061262897";"0,025841836";"-0,076524942";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"S";"R";"R";"R";"R";"R";"R";"SR";"SR";"SR";"SR";"RR";"SR";"0";"0";"0";"0";"1";"0";"1";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"3,000";"2,800";"3,000";"6,600";"4,800";"0";"536,814";"5009,930";"2773,372";"0,044";"0,270";"0,157";"0,002";NA;"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Cephalexin";"A22";"Cephalexin";"FALSE";"10";"0,002";"Additivity";NA;NA;"A22";"LEX";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,075399183";"0,056095773";"0,048970106";"0,061262897";"0,025841836";"-0,076524942";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"S";"R";"R";"R";"R";"R";"R";"SR";"SR";"SR";"SR";"RR";"SR";"0";"0";"0";"0";"1";"0";"1";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"1,167";"12,000";"12,000";"53,833";"32,917";"1";"0,000";"19939,870";"9969,935";"0,000";"0,025";"0,013";"0,002";NA;"connected"
"Small/medium-scale PPI";"A22-Ciprofloxacin";"A22";"Ciprofloxacin";"TRUE";"10";"0,002";"Additivity";"6";"0,003";"A22";"CIP";"0";"other cell wall";"quinolones";"other cell wall-quinolones";"0";"cell wall";"DNA";"cell wall-DNA";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,129558290";"0,064624682";"0,127928206";"0,066171374";"-0,055650542";"-0,037127789";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"S";"S";"SS";"SS";"SS";"SS";"RS";"SS";"-1";"-1";"-1";"-1";"0";"-1";"-5";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,010";"0,010";"0,015";"0,015";"1,25";"0,08";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3,500";"3,000";"3,000";"8,500";"5,750";"0";"2504,965";"5239,245";"3872,105";"0,045";"0,270";"0,158";"0,002";"0,003";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Ciprofloxacin";"A22";"Ciprofloxacin";"TRUE";"10";"0,002";"Additivity";"6";"0,003";"A22";"CIP";"0";"other cell wall";"quinolones";"other cell wall-quinolones";"0";"cell wall";"DNA";"cell wall-DNA";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,129558290";"0,064624682";"0,127928206";"0,066171374";"-0,055650542";"-0,037127789";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"S";"S";"SS";"SS";"SS";"SS";"RS";"SS";"-1";"-1";"-1";"-1";"0";"-1";"-5";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,010";"0,010";"0,015";"0,015";"1,25";"0,08";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2,000";"12,000";"12,000";"20,000";"16,000";"0";"0,000";"1165,260";"582,630";"0,000";"0,010";"0,005";"0,002";"0,003";"connected"
"Small/medium-scale PPI";"A22-Clindamycin";"A22";"Clindamycin";"TRUE";"7";"0,002";"Additivity";"5";"0,005";"A22";"CLI";"0";"other cell wall";"other protein synthesis inhibitor";"other cell wall-other protein synthesis inhibitor";"0";"cell wall";"protein synthesis inhibitor";"cell wall-protein synthesis inhibitor";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,113529022";"-0,070666997";"0,045759274";"-0,061557467";"0,036672493";"-0,042277618";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"S";"R";"R";"S";"S";"R";"R";"SR";"SR";"SS";"SS";"RR";"SR";"0";"0";"-1";"-1";"1";"0";"-1";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"2,000";"2,000";"2,000";"2,000";"2,00";"2,00";"0,78";"0,76";"0,60";"0,64";"0,87";"0,90";"2,000";"2,000";"2,000";"5,000";"3,500";"0";"368,230";"5009,930";"2689,080";"0,180";"0,270";"0,225";"0,002";"0,005";"connected"
"Small/medium-scale PPI";"A22-Doxycycline";"A22";"Doxycycline";"TRUE";"11";"0,001";"Additivity-Antagonism";"8";"0,004";"A22";"DOX";"0";"other cell wall";"tetracycline";"other cell wall-tetracycline";"0";"cell wall";"protein synthesis inhibitor";"cell wall-protein synthesis inhibitor";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"0,145314474";"-0,046015076";"0,092081999";"0,054741609";"-0,031449653";"0,136296957";"Antagonism";"Additivity";"Additivity";"Additivity";"Additivity";"Antagonism";"1";"0";"0";"0";"0";"1";"2";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"R";"S";"SS";"SS";"SS";"SS";"RR";"SS";"-1";"-1";"-1";"-1";"1";"-1";"-4";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,500";"0,500";"1,000";"1,000";"4,00";"4,00";"0,42";"0,00";"0,55";"0,40";"0,85";"0,50";"2,000";"1,500";"2,000";"5,000";"3,500";"0";"451,875";"5009,930";"2730,903";"0,130";"0,270";"0,200";"0,001";"0,004";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Doxycycline";"A22";"Doxycycline";"TRUE";"11";"0,001";"Additivity-Antagonism";"8";"0,004";"A22";"DOX";"0";"other cell wall";"tetracycline";"other cell wall-tetracycline";"0";"cell wall";"protein synthesis inhibitor";"cell wall-protein synthesis inhibitor";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"0,145314474";"-0,046015076";"0,092081999";"0,054741609";"-0,031449653";"0,136296957";"Antagonism";"Additivity";"Additivity";"Additivity";"Additivity";"Antagonism";"1";"0";"0";"0";"0";"1";"2";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"R";"S";"SS";"SS";"SS";"SS";"RR";"SS";"-1";"-1";"-1";"-1";"1";"-1";"-4";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,500";"0,500";"1,000";"1,000";"4,00";"4,00";"0,42";"0,00";"0,55";"0,40";"0,85";"0,50";"4,000";"12,000";"12,000";"13,000";"12,500";"0";"0,000";"6233,610";"3116,805";"0,000";"0,000";"0,000";"0,001";"0,004";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Fosfomycin";"A22";"Fosfomycin";"TRUE";"15";"0,004";"Additivity-Antagonism-Synergy";"5";"0,005";"A22";"FOF";"1";"other cell wall";"other cell wall";"other cell wall-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"0,138097314";"0,180647729";"0,060819247";"-0,083673030";"0,049734990";"-0,591744658";"Additivity";"Antagonism";"Additivity";"Additivity";"Additivity";"Synergy";"0";"1";"0";"0";"0";"-1";"0";"S";"S";"S";"S";"R";"S";"S";"S";"S";"R";"S";"S";"SS";"SS";"SS";"SR";"RS";"SS";"-1";"-1";"-1";"0";"0";"-1";"-4";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,100";"0,100";"0,050";"0,050";"15,00";"5,00";"0,39";"0,49";"0,65";"0,77";"0,00";"0,00";"2,000";"12,000";"12,000";"27,000";"19,500";"0";"0,000";"77,140";"38,570";"0,000";"0,010";"0,005";"0,004";"0,005";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Fusidic acid";"A22";"Fusidic acid";"TRUE";"9";"0,001";"Additivity";"9";"0,002";"A22";"FUS";"0";"other cell wall";"other protein synthesis inhibitor";"other cell wall-other protein synthesis inhibitor";"0";"cell wall";"protein synthesis inhibitor";"cell wall-protein synthesis inhibitor";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"0,099261731";"-0,150875992";"-0,049077060";"-0,061795543";"-0,025725863";"-0,073104875";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"S";"S";"S";"R";"R";"R";"R";"SS";"SS";"SR";"SR";"RR";"SR";"-1";"-1";"0";"0";"1";"0";"-1";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"100,000";"100,000";"100,000";"100,000";"100,00";"100,00";"0,56";"0,43";"0,86";"0,73";"0,83";"0,84";"5,000";"1,000";"1,000";"12,000";"6,500";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,001";"0,002";"connected"
"Small/medium-scale PPI";"A22-Imipenem";"A22";"Imipenem";"TRUE";"4";"0,001";"Additivity-Synergy";"2";"0,002";"A22";"IPM";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,179297277";"-0,119598323";"-0,162337066";"-0,066061951";"-0,025180084";"-0,144688639";"Synergy";"Additivity";"Synergy";"Additivity";"Additivity";"Synergy";"-1";"0";"-1";"0";"0";"-1";"-3";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"S";"S";"SS";"SS";"SS";"SS";"RS";"SS";"-1";"-1";"-1";"-1";"0";"-1";"-5";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,125";"0,125";"0,125";"0,125";"3,00";"0,75";"0,28";"0,44";"0,07";"0,00";"0,00";"0,00";"3,000";"2,800";"3,000";"6,600";"4,800";"0";"536,814";"5009,930";"2773,372";"0,044";"0,270";"0,157";"0,001";"0,002";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Imipenem";"A22";"Imipenem";"TRUE";"4";"0,001";"Additivity-Synergy";"2";"0,002";"A22";"IPM";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,179297277";"-0,119598323";"-0,162337066";"-0,066061951";"-0,025180084";"-0,144688639";"Synergy";"Additivity";"Synergy";"Additivity";"Additivity";"Synergy";"-1";"0";"-1";"0";"0";"-1";"-3";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"S";"S";"SS";"SS";"SS";"SS";"RS";"SS";"-1";"-1";"-1";"-1";"0";"-1";"-5";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,125";"0,125";"0,125";"0,125";"3,00";"0,75";"0,28";"0,44";"0,07";"0,00";"0,00";"0,00";"1,167";"12,000";"12,000";"53,833";"32,917";"1";"0,000";"19939,870";"9969,935";"0,000";"0,025";"0,013";"0,001";"0,002";"connected"
"Small/medium-scale PPI";"A22-Levofloxacin";"A22";"Levofloxacin";"TRUE";"5";"0,001";"Additivity";"4";"0,002";"A22";"LCX";"0";"other cell wall";"DNA gyrase";"DNA gyrase-other cell wall";"0";"cell wall";"DNA";"cell wall-DNA";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,048183781";"-0,069538508";"0,057621053";"0,116429698";"-0,033825992";"0,000000000";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"S";"S";"SS";"SS";"SS";"SS";"RS";"SS";"-1";"-1";"-1";"-1";"0";"-1";"-5";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,040";"0,040";"0,080";"0,080";"2,00";"0,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"4,250";"2,000";"2,000";"6,750";"4,375";"0";"1252,483";"5124,588";"3188,535";"0,022";"0,270";"0,146";"0,001";"0,002";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Levofloxacin";"A22";"Levofloxacin";"TRUE";"5";"0,001";"Additivity";"4";"0,002";"A22";"LCX";"0";"other cell wall";"DNA gyrase";"DNA gyrase-other cell wall";"0";"cell wall";"DNA";"cell wall-DNA";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,048183781";"-0,069538508";"0,057621053";"0,116429698";"-0,033825992";"0,000000000";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"S";"S";"SS";"SS";"SS";"SS";"RS";"SS";"-1";"-1";"-1";"-1";"0";"-1";"-5";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,040";"0,040";"0,080";"0,080";"2,00";"0,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2,500";"9,000";"9,000";"16,000";"12,500";"0";"0,000";"861,438";"430,719";"0,000";"0,005";"0,002";"0,001";"0,002";"connected"
"Small/medium-scale PPI";"A22-Mecillinam";"A22";"Mecillinam";"TRUE";"7";"0,002";"Additivity-Synergy";"5";"0,005";"A22";"MEC";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,175348504";"-0,087425732";"0,150147598";"-0,049278723";"0,025530002";"0,039390317";"Synergy";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"-1";"0";"0";"0";"0";"0";"-1";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"R";"R";"SS";"SS";"SS";"SS";"RR";"SR";"-1";"-1";"-1";"-1";"1";"0";"-3";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,060";"0,060";"0,060";"0,060";"2,00";"2,00";"0,00";"0,00";"0,00";"0,00";"0,90";"0,91";"2,000";"1,000";"1,000";"5,000";"3,000";"0";"0,000";"5009,930";"2504,965";"0,070";"0,270";"0,170";"0,002";"0,005";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Mecillinam";"A22";"Mecillinam";"TRUE";"7";"0,002";"Additivity-Synergy";"5";"0,005";"A22";"MEC";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,175348504";"-0,087425732";"0,150147598";"-0,049278723";"0,025530002";"0,039390317";"Synergy";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"-1";"0";"0";"0";"0";"0";"-1";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"R";"R";"SS";"SS";"SS";"SS";"RR";"SR";"-1";"-1";"-1";"-1";"1";"0";"-3";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,060";"0,060";"0,060";"0,060";"2,00";"2,00";"0,00";"0,00";"0,00";"0,00";"0,90";"0,91";"1,000";"12,000";"12,000";"72,000";"42,000";"1";"0,000";"56411,220";"28205,610";"0,000";"0,040";"0,020";"0,002";"0,005";"connected"
