"N1","N2"
"P0AFG8","P0A7V3"
"P0A715","P0A7V3"
"P31133","P0A7V3"
"P76073","P0A7V3"
"P0A717","P0A7V3"
"P06959","P0A7V3"
"P18843","P0A7V3"
"P76102","P0A7V3"
"P0A968","P0A7V3"
"P10408","P0A7V3"
"P0A996","P0A7V3"
"P0ABH9","P0A7V3"
"P0A7E9","P0A7V3"
"P0A6Q6","P0A7V3"
"P77439","P0A7V3"
"P0A9P0","P0A7V3"
"P0ACV4","P0A7V3"
"P60240","P0A7V3"
"P00579","P0A7V3"
"P0A7Y4","P0A7V3"
"P0A6P9","P0A7V3"
"P0AFD1","P0A7V3"
"P19319","P0A7V3"
"P0A7L8","P0A7V3"
"P0AB43","P0A7V3"
"P0A8A8","P0A7V3"
"P76154","P0A7V3"
"P0ABY2","P0A7V3"
"P0ACF8","P0A7V3"
"P0A9K3","P0A7V3"
"P0ABD5","P0A7V3"
"P0A776","P0A7V3"
"P0ACP1","P0A7V3"
"P0AEB2","P0A7V3"
"P61320","P0A7V3"
"P14294","P0A7V3"
"P0A705","P0A7V3"
"P75876","P0A7V3"
"P0A7M6","P0A7V3"
"P36879","P0A7V3"
"P76116","P0A7V3"
"P0A772","P0A7V3"
"P76515","P0A7V3"
"P64455","P0A7V3"
"P63228","P0A7V3"
"P37903","P0A7V3"
"P76243","P0A7V3"
"P64517","P0A7V3"
"P77293","P0A7V3"
"P0ADS6","P0A7V3"
"P64588","P0A7V3"
"P0AED9","P0A7V3"
"P0A8W8","P0A7V3"
"P77717","P0A7V3"
"P0A6Q3","P0A7V3"
"P76550","P0A7V3"
"P77781","P0A7V3"
"P0A8E5","P0A7V3"
"P67699","P0A7V3"
"P69228","P0A7V3"
"P0AFM4","P0A7V3"
"P15288","P0A7V3"
"P0A9A9","P0A7V3"
"P00959","P60422"
"P0A7V3","P60422"
"P0A7X3","P60422"
"P0AG44","P60422"
"P0A7V8","P60422"
"P0A7S9","P60422"
"P0A9P6","P60422"
"P02413","P60422"
"P0A7V0","P60422"
"P0A7W1","P60422"
"P37765","P60422"
"P21507","P60422"
"P0AG48","P60422"
"P62399","P60422"
"P0AGJ5","P60422"
"P0AG55","P60422"
"P0AG59","P60422"
"P75989","P60422"
"P0AFF6","P60422"
"P0A7R9","P60422"
"P77616","P60422"
"P0AG67","P60422"
