"N1","N2"
"P0A8E7","P0AA25"
"P0A6G7","P0AA25"
"P0ACF4","P0AA25"
"P0A6Z3","P0AA25"
"P0A8J4","P0AA25"
"P0A9A9","P0AA25"
"P0AC41","P0AA25"
"P0A836","P0AA25"
"P0AGE9","P0AA25"
"P0A9P4","P0AA25"
"P02931","P0AA25"
"P0A6Q3","P0AA25"
"P0A910","P0AA25"
"P09546","P0AA25"
"P0AEK2","P0AA25"
"P08200","P0AA25"
"P23331","P0AA25"
"P0AEK4","P0AA25"
"P0A862","P0AA25"
"P22333","P0AA25"
"P0ACY1","P0AA25"
"P0A9B2","P0AA25"
"P23865","P0AA25"
"P33218","P0AA25"
"P21599","P0AA25"
"P39180","P0AA25"
"P0AAG8","P0AA25"
"P33940","P0AA25"
"P06996","P0AA25"
"P0DMC7","P0AA25"
"P00452","P0AA25"
"P69783","P0AA25"
"P0A763","P0AA25"
"P0AGD7","P0AA25"
"P77475","P0AA25"
"P0A7G6","P0AA25"
"P0A6P9","P0AA25"
"P30744","P0AA25"
"P0AB71","P0AA25"
"P31120","P0AA25"
"P42641","P0AA25"
"P0A9V1","P0AA25"
"P0A9X4","P0AA25"
"P0A6M8","P0AA25"
"P0A9K9","P0AA25"
"P0AA16","P0AA25"
"P0A9X9","P0AA25"
"P0A800","P0AA25"
"P0A853","P0AA25"
"P0ACC7","P0AA25"
"P0ABB4","P0AA25"
"P0ABB0","P0AA25"
"P02925","P0AA25"
"P0AFW8","P0AG30"
"P0A850","P0AG30"
"P25714","P0AG30"
"P23909","P03018"
"P36649","P69425"
"P18775","P69425"
"P69853","P69425"
"P26648","P69425"
"P69428","P69425"
"P0AF03","P32125"
"P12281","P32125"
"P09152","P32125"
"P0AC55","P0AFB5"
"P0A9Z1","P0AFB5"
"P0AFB8","P0AFB5"
"P24183","P13024"
"P0AA16","P0AE88"
"P0AE82","P0AE88"
"P0AFZ5","P0A6H5"
"P0AA25","P0A6H5"
"P0AEN4","P29131"
"P0AD68","P29131"
"P0ABG4","P29131"
"P06136","P29131"
"P0ABH0","P29131"
"P02919","P29131"
"P0A6S5","P29131"
"P63883","P29131"
"P46022","P29131"
"P11557","P29131"
"P02918","P29131"
"Q46948","P0A7L0"
"P0A850","P0A7L0"
"P21513","P0A7L0"
"P0ABB0","P0A7L0"
"Q46948","P0A8V2"
"P30958","P0A8V2"
"P0AEM6","P0A8V2"
"P0A7Z4","P0A8V2"
"P00579","P0A8T7"
"P0A7Z4","P0A8T7"
"P0A8V2","P0A8T7"
"P27302","P15639"
"P0A870","P0AEX9"
"P08622","P0AEX9"
"P0AA25","P0AEX9"
"P68183","P0AEX9"
"P02916","P0AEX9"
"P06710","P0ACB0"
"P16525","P0ACB0"
"P0ABS5","P0ACB0"
"P60422","P0ACB0"
"P03004","P0ACB0"
"P09980","P0ACB0"
"P10443","P0AGE0"
"P06710","P0AGE0"
"P0A6V5","P0A6F9"
"P0AA25","P0A6F9"
"P0AEX9","P0A6F9"
"P09151","P0A6F5"
"P00893","P0A6F5"
"Q47155","P0A6F5"
"Q46948","P0A6F5"
"P0A850","P0A6F5"
"P39177","P0A6F5"
"P12998","P0A6F5"
"P0AG67","P0A6F5"
"P75957","P0A6F5"
"P00887","P0A6F5"
"P07395","P0A6F5"
"P08312","P0A6F5"
"P37747","P0A6F5"
"P0C8J6","P0A6F5"
"P76422","P0A6F5"
"P09372","P0A6F5"
"P16431","P0A6F5"
"P61889","P0A6F5"
"P0A6V5","P0A6F5"
"P0AGB3","P0A6F5"
"P00961","P0A6F5"
"P07913","P0A6F5"
"P25665","P0A6F5"
"P0A8T7","P0A6F5"
"P30140","P0A6F5"
"P30139","P0A6F5"
"P0AEX9","P0A6F5"
"P0A6F9","P0A6F5"
"P0A915","P0AC47"
"P07012","P02358"
"P17888","P07013"
"P10443","P28905"
"P06710","P28905"
"P28630","P28905"
"P28631","P28905"
"P0A988","P28905"
"P0AGE0","P28905"
"P02929","P13036"
"P13036","P23485"
"P31697","P30130"
"P0AF03","P77247"
"P0A6Y8","P21889"
"P31554","P0ADC1"
"P0AEN4","P15286"
