"N1","N2"
"P30745","P30749"
"P30748","P30749"
"P0ABG1","P0AA84"
"P18200","P0AA84"
"P15877","P75792"
"P36938","P75792"
"P0AF03","P12282"
"P30745","P12282"
"P30748","P12282"
"P30749","P12282"
"P0AF03","P12281"
"P30745","P12281"
"P30748","P12281"
"P30749","P12281"
"P12282","P12281"
"P77580","P75823"
"P00956","P0A8L1"
"P16659","P0A8L1"
"P21888","P0A8L1"
"P07813","P0A8L1"
"P00962","P0A8L1"
"P18775","P18776"
"P18775","P18777"
"P18776","P18777"
"P0AFG8","P09373"
"P06959","P09373"
"P0A9P0","P09373"
"P36683","P09373"
"P0ABH7","P09373"
"P19624","P23721"
"P77488","P23721"
"P0A6E1","P0A6D3"
"P0AB91","P0A6D3"
"P25524","P0A6I0"
"P0A725","P27300"
"P21645","P27300"
"P0A722","P27300"
"P10441","P27300"
"P43341","P27300"
"P00561","P00509"
"P00547","P00509"
"P00934","P00509"
"P00893","P00509"
"P00894","P00509"
"P00956","P0A8M0"
"P16659","P0A8M0"
"P21888","P0A8M0"
"P07813","P0A8M0"
"P00962","P0A8M0"
"P0A8L1","P0A8M0"
"P0A752","P18133"
"P0A6F1","P0A7E1"
"P00968","P0A7E1"
"P0A7E9","P0A7E1"
"P0A6Q6","P0A6Q3"
"P0ADA1","P0A6Q3"
"P69054","P26459"
"P0AC44","P26459"
"P0AC41","P26459"
"P07014","P26459"
"P0ABJ9","P26459"
"P0ABK2","P26459"
"P69054","P26458"
"P0AC44","P26458"
"P0AC41","P26458"
"P07014","P26458"
"P0ABJ9","P26458"
"P0ABK2","P26458"
"P26459","P26458"
"P33226","P33225"
"P15877","P19926"
"P36938","P19926"
"P75792","P19926"
"P75894","P75895"
"P75894","P0AFQ5"
"P75895","P0AFQ5"
"P75894","P75897"
"P75895","P75897"
"P0AFQ5","P75897"
"P75894","P75898"
"P75895","P75898"
"P0AFQ5","P75898"
"P75897","P75898"
"P0A6F1","P05020"
"P00968","P05020"
"P0A7E9","P05020"
"P0A7E1","P05020"
"P68688","P0AC59"
"P0A6Q6","P0A6R0"
"P0ABD5","P0A6R0"
"P12995","P0A6R0"
"P12996","P0A6R0"
"P12998","P0A6R0"
"P12999","P0A6R0"
"P13000","P0A6R0"
"P0ABD5","P0AAI9"
"P0A6R0","P0AAI9"
"P0A6Q6","P0AEK2"
"P0ADA1","P0AEK2"
"P12995","P0AEK2"
"P12996","P0AEK2"
"P12998","P0AEK2"
"P12999","P0AEK2"
"P13000","P0AEK2"
"P0A6Q3","P0AEK2"
"P0A6R0","P0AEK2"
"P0A725","P0A6A8"
"P06959","P0A6A8"
"P0ABG1","P0A6A8"
"P21645","P0A6A8"
"P0A6Q6","P0A6A8"
"P0A722","P0A6A8"
"P10441","P0A6A8"
"P0ABD5","P0A6A8"
"P21515","P0A6A8"
"P18200","P0A6A8"
"P0ADA1","P0A6A8"
"P43341","P0A6A8"
"P60716","P0A6A8"
"P60720","P0A6A8"
"P0AFG6","P0A6A8"
"P12995","P0A6A8"
"P12996","P0A6A8"
"P12998","P0A6A8"
"P12999","P0A6A8"
"P13000","P0A6A8"
"P0AA84","P0A6A8"
"P27300","P0A6A8"
"P0A6Q3","P0A6A8"
"P0ACV0","P0A6A8"
"P0A6R0","P0A6A8"
"P0AAI9","P0A6A8"
"P0AEK2","P0A6A8"
"P0A6Q6","P0AAI5"
"P0ADA1","P0AAI5"
"P0A6Q3","P0AAI5"
"P0A6R0","P0AAI5"
"P0AEK2","P0AAI5"
"P0A6A8","P0AAI5"
"P61949","P0A720"
"P69441","P0AB89"
"P09029","P0AB89"
"P0AG18","P0AB89"
"P61949","P0AB89"
"P0AFG8","P08200"
"P06959","P08200"
"P0A9P0","P08200"
"P36683","P08200"
"P0ABH7","P08200"
"P69054","P08200"
"P0AC44","P08200"
"P0AC41","P08200"
"P07014","P08200"
"P0AFG3","P08200"
"P0AFG6","P08200"
"P0A836","P08200"
"P0AGE9","P08200"
"P09373","P08200"
"P0A6J5","P29012"
"P37349","P76014"
"P37349","P76015"
"P76014","P76015"
"P62623","P62615"
"P45568","P62615"
"P77488","P62615"
"P23893","P0A6X1"
"P0ACB2","P0A6X1"
"P23871","P0A6X1"
"P04951","P0A715"
"P0AF28","P0AFA2"
"P09152","P11349"
"P09152","P11350"
"P11349","P11350"
"P0ABQ4","P37051"
"P0A9P0","P37051"
"P24186","P37051"
"P0A9C3","P0AEP3"
"P0A6T3","P0AEP3"
"P09148","P0AEP3"
"P09147","P0AEP3"
"P36683","P0A9Q7"
"P77397","P0A9Q7"
"P0ABR9","P0A9Q7"
"P77044","P0A9Q7"
"P77608","P0A9Q7"
"P77580","P0A9Q7"
"P51020","P0A9Q7"
"P0ABH7","P0A9Q7"
"P75823","P0A9Q7"
"P09373","P0A9Q7"
"P08200","P0A9Q7"
"P0ABG1","P0A6H8"
"P18200","P0A6H8"
"P0AA84","P0A6H8"
"P0A6A8","P0A6H8"
"P0A877","P0A879"
"P0A877","P00909"
"P0A879","P00909"
"P0A877","P00904"
"P0A879","P00904"
"P00909","P00904"
"P52086","P0A9H5"
"P0A9P0","P25516"
"P36683","P25516"
"P0ABH7","P25516"
"P69054","P25516"
"P0AC44","P25516"
"P0AC41","P25516"
"P07014","P25516"
"P0AFG3","P25516"
"P0AFG6","P25516"
"P0A836","P25516"
"P0AGE9","P25516"
"P08200","P25516"
"P0AG40","P0A7I7"
"P25539","P0A7I7"
"P61714","P0A7I7"
"P0ABG1","P0A924"
"P18200","P0A924"
"P0AA84","P0A924"
"P0A6A8","P0A924"
"P0A6H8","P0A924"
"P0A6F1","P08244"
"P00968","P08244"
"P0A7E9","P08244"
"P0A7E1","P08244"
"P05020","P08244"
"P21513","P30850"
"P0A6Q6","P0AEK4"
"P0ADA1","P0AEK4"
"P12995","P0AEK4"
"P12996","P0AEK4"
"P12998","P0AEK4"
"P12999","P0AEK4"
"P13000","P0AEK4"
"P0A6Q3","P0AEK4"
"P0A6R0","P0AEK4"
"P0AEK2","P0AEK4"
"P0A6A8","P0AEK4"
"P0AAI5","P0AEK4"
"P78061","P76038"
"P78061","P23883"
"P76038","P23883"
"P36683","P52643"
"P0ABH7","P52643"
"P09373","P52643"
"P08200","P52643"
"P0A9Q7","P52643"
"P80668","P46883"
"Q47146","P77455"
"P0A9Q7","P77455"
"P77455","P76077"
"P77455","P76078"
"P76077","P76078"
"P77455","P76079"
"P76077","P76079"
"P76078","P76079"
"P77455","P76081"
"P76077","P76081"
"P76078","P76081"
"P76079","P76081"
"P77455","P76082"
"P76077","P76082"
"P76078","P76082"
"P76079","P76082"
"P76081","P76082"
"P77455","P77467"
"P76077","P77467"
"P76078","P77467"
"P76079","P77467"
"P76081","P77467"
"P76082","P77467"
"P77455","P76083"
"P76077","P76083"
