node1 node2 experimental database textmining combined_score
b0015 b2834 212 0 0 212
b0015 b0487 276 0 93 315
b0015 b3186 464 0 0 463
b0015 b3162 270 0 0 269
b0015 b2526 0 227 139 305
b0015 b0875 243 0 0 242
b0015 b4142 77 0 352 376
b0015 b1494 282 0 0 282
b0015 b2609 457 0 0 457
b0015 b3311 465 0 0 465
b0015 b3299 301 0 0 301
b0015 b2786 168 80 0 201
b0015 b3317 454 0 0 454
b0015 b0649 206 0 63 224
b0015 b2720 246 0 0 245
b0015 b2562 246 0 0 245
b0015 b0037 279 0 0 279
b0015 b1224 388 0 0 388
b0015 b3178 165 0 0 165
b0015 b3319 396 0 0 396
b0015 b1413 158 0 66 179
b0015 b0177 75 58 103 150
b0015 b3165 415 0 0 414
b0015 b0424 457 0 63 469
b0015 b3001 212 0 0 212
b0015 b2592 525 0 154 581
b0015 b3300 0 0 212 212
b0015 b3644 395 0 0 394
b0015 b2836 282 0 0 282
b0015 b3729 194 0 0 194
b0015 b0659 381 0 0 381
b0015 b2791 283 0 0 282
b0015 b3706 463 0 0 463
b0015 b3230 458 0 0 457
b0015 b1771 212 0 0 212
b0015 b3301 480 0 0 480
b0015 b3611 206 0 0 206
b0015 b3636 457 0 0 457
b0015 b3637 457 0 0 457
b0015 b2668 206 0 0 206
b0015 b2072 371 0 0 371
b0015 b2699 382 0 0 382
b0015 b2297 205 0 0 204
b0015 b3425 206 0 0 206
b0015 b1393 256 0 0 256
b0015 b1773 218 0 0 218
b0015 b1207 183 0 0 183
b0015 b3309 487 0 0 486
b0015 b3908 457 0 0 457
b0015 b3185 457 0 0 457
b0015 b3294 484 0 0 483
b0015 b2745 464 0 0 463
b0015 b2260 279 0 0 279
b0015 b1701 279 0 0 279
b0015 b1860 406 0 0 406
b0015 b3341 445 0 0 445
b0015 b2195 357 0 138 422
b0015 b3137 218 0 0 218
b0015 b0476 199 0 0 199
b0015 b3527 282 0 0 282
b0015 b4143 74 0 283 307
b0015 b2284 279 0 0 279
b0015 b2542 177 0 0 177
b0015 b3783 158 0 399 472
b0015 b3231 480 0 0 480
b0015 b3305 461 0 0 461
