node1 node2 experimental database textmining combined_score
STM0021 STM4592 471 0 0 471
STM0021 STM3027 225 0 0 224
STM0021 STM4573 197 0 0 197
STM0021 STM0546 205 0 0 205
STM0021 STM0716 0 0 165 165
STM0021 STM0023 205 0 0 205
STM0021 STM4572 205 0 0 205
STM0021 STM4594 244 0 0 243
STM0021 STM0338 205 0 0 205
STM0022 STM2152 244 0 0 243
STM0022 STM0024 197 0 0 197
STM0022 STM0174 197 0 0 197
STM0022 STM4593 183 0 0 183
STM0022 STM0175 203 0 0 203
STM0022 STM4591 256 0 0 256
STM0022 STM4575 191 0 0 191
STM0022 STM4595 197 0 0 197
STM0022 STM0025 197 0 0 197
STM0022 STM0026 244 0 0 243
STM0022 STM0200 256 0 0 256
STM0022 STM2149 197 0 0 197
STM0022 STM4574 191 0 0 191
STM0022 STM2150 203 0 0 203
STM0022 STM1146 197 0 0 197
STM0022 STM4592 278 0 0 278
STM0022 STM0021 244 0 0 243
STM0022 STM0546 203 0 0 203
STM0022 STM0340 197 0 0 197
STM0022 STM0177 197 0 0 197
STM0022 STM0301 203 0 0 203
STM0022 STM0199 197 0 0 197
STM0022 STM0543 244 0 0 243
STM0022 STM0548 244 0 0 243
STM0022 STM0195 348 0 0 347
STM0022 STM3637 197 0 0 197
STM0022 STM0196 203 0 0 203
STM0022 STM3029 231 0 0 230
STM0022 STM3028 203 0 0 203
STM0022 STM0544 231 0 0 230
STM0022 STM3636 244 0 0 243
STM0022 STM3638 203 0 0 203
STM0022 STM0547 197 0 0 197
STM0022 STM3640 244 0 0 243
STM0022 STM0198 197 0 0 197
STM0022 STM0337 191 0 0 191
STM0022 STM0338 203 0 0 203
STM0022 STM0023 203 0 0 203
STM0022 STM4572 203 0 0 203
STM0023 STM0543 205 0 0 205
STM0023 STM0339 203 0 0 203
STM0023 STM0027 183 0 0 183
STM0023 STM3029 204 0 0 204
STM0023 STM0195 252 0 0 252
STM0023 STM0300 203 0 0 203
STM0023 STM0548 205 0 0 205
STM0023 STM2151 203 0 0 203
STM0023 STM3640 205 0 0 205
STM0023 STM0197 203 0 0 203
STM0023 STM3636 205 0 0 205
STM0023 STM0544 204 0 0 204
STM0023 STM0022 203 0 0 203
STM0023 STM0176 203 0 0 203
STM0023 STM2152 205 0 0 205
STM0023 STM0545 203 0 0 203
STM0023 STM4591 215 0 0 215
STM0023 STM0336 197 0 0 197
STM0023 STM3639 203 0 0 203
STM0023 STM4592 252 0 0 252
STM0023 STM4573 183 0 0 183
STM0023 STM3027 197 0 0 197
STM0023 STM0026 205 0 0 205
STM0023 STM0200 215 0 0 215
STM0023 STM4594 203 0 0 203
STM0023 STM0021 205 0 0 205
STM0024 STM0022 197 0 0 197
STM0024 STM0339 197 0 0 197
STM0024 STM0027 197 0 0 197
STM0024 STM0176 197 0 0 197
STM0024 STM0336 197 0 0 197
STM0024 STM0545 197 0 0 197
STM0024 STM3639 197 0 0 197
STM0024 STM0300 197 0 0 197
STM0024 STM3027 197 0 0 197
STM0024 STM4573 197 0 0 197
STM0024 STM2151 197 0 0 197
STM0024 STM0197 197 0 0 197
STM0024 STM4594 197 0 0 197
STM0025 STM0300 197 0 0 197
STM0025 STM3639 197 0 0 197
STM0025 STM0545 197 0 0 197
STM0025 STM0336 197 0 0 197
STM0025 STM0176 197 0 0 197
STM0025 STM0027 197 0 0 197
STM0025 STM0339 197 0 0 197
STM0025 STM0022 197 0 0 197
STM0025 STM4594 197 0 0 197
STM0025 STM0197 197 0 0 197
STM0025 STM2151 197 0 0 197
STM0025 STM3027 197 0 0 197
STM0025 STM4573 197 0 0 197
STM0026 STM3639 231 0 0 230
STM0026 STM0196 205 0 0 205
STM0026 STM0300 244 0 0 243
STM0026 STM0336 225 0 0 224
STM0026 STM3028 205 0 0 205
STM0026 STM0545 244 0 0 243
STM0026 STM0301 205 0 0 205
STM0026 STM0176 244 0 0 243
STM0026 STM0339 244 0 0 243
STM0026 STM0022 244 0 0 243
STM0026 STM0027 197 0 0 197
STM0026 STM0175 205 0 0 205
STM0026 STM0546 205 0 0 205
STM0026 STM0338 205 0 0 205
STM0026 STM4572 205 0 0 205
STM0026 STM4594 244 0 265 420
STM0026 STM0023 205 0 0 205
STM0026 STM0197 244 0 0 243
STM0026 STM3638 205 0 0 205
STM0026 STM4573 197 0 0 197
STM0026 STM3027 225 0 0 224
STM0026 STM2151 244 0 0 243
STM0026 STM4592 471 0 0 471
STM0026 STM2150 205 0 0 205
STM0027 STM0543 197 0 0 197
STM0027 STM0199 197 0 0 197
STM0027 STM0301 183 0 0 183
STM0027 STM3028 183 0 0 183
STM0027 STM3029 197 0 0 197
STM0027 STM0196 183 0 0 183
STM0027 STM3637 197 0 0 197
STM0027 STM0195 197 0 0 197
STM0027 STM0548 197 0 0 197
STM0027 STM0337 191 0 0 191
STM0027 STM0198 197 0 0 197
STM0027 STM3640 197 0 0 197
STM0027 STM0547 197 0 0 197
STM0027 STM3636 197 0 0 197
STM0027 STM3638 183 0 0 183
STM0027 STM0544 197 0 0 197
STM0027 STM4572 183 0 0 183
STM0027 STM0023 183 0 0 183
STM0027 STM0338 183 0 0 183
STM0027 STM0175 183 0 0 183
STM0027 STM4593 183 0 0 183
STM0027 STM0174 197 0 0 197
STM0027 STM2152 197 0 0 197
STM0027 STM0024 197 0 0 197
STM0027 STM0025 197 0 0 197
STM0027 STM4595 197 0 0 197
STM0027 STM4575 191 0 0 191
STM0027 STM4591 197 0 0 197
STM0027 STM4592 197 0 0 197
STM0027 STM1146 197 0 0 197
STM0027 STM2150 183 0 0 183
STM0027 STM4574 191 0 0 191
STM0027 STM2149 197 0 0 197
STM0027 STM0026 197 0 0 197
STM0027 STM0200 197 0 0 197
STM0027 STM0177 197 0 0 197
STM0027 STM0340 197 0 0 197
STM0027 STM0546 183 0 0 183
STM0027 STM0021 197 0 0 197
STM0028 STM1114 499 0 112 536
STM0028 STM4323 499 0 112 536
STM0028 STM4281 0 0 165 165
STM0035 STM0821 213 0 0 213
STM0035 STM3123 244 0 0 243
STM0035 STM3741 260 0 0 260
STM0035 STM3803 244 0 0 243
STM0035 STM1821 213 0 0 213
STM0035 STM3415 261 0 0 261
STM0035 STM0036 244 0 0 243
STM0035 STM2223 235 0 0 235
STM0035 STM1287 244 0 0 243
STM0035 STM0900 235 0 0 235
STM0035 STM4153 222 0 0 222
STM0035 STM3966 244 0 0 243
STM0036 STM0084 244 0 0 243
STM0036 STM3122 244 0 0 243
STM0036 STM4013 244 0 0 243
STM0036 STM0886 244 0 0 243
STM0036 STM0035 244 0 0 243
STM0040 STM2924 0 0 253 252
STM0041 STM1712 323 0 0 323
STM0041 STM3427 253 0 0 252
STM0041 STM0470 253 0 0 252
STM0041 STM4055 253 0 0 252
STM0041 STM3421 253 0 0 252
STM0041 STM3423 253 0 0 252
STM0041 STM3448 253 0 0 252
STM0041 STM1081 253 0 0 252
STM0041 STM3344 279 0 0 279
STM0041 STM3431 253 0 0 252
STM0041 STM3447 253 0 0 252
STM0041 STM3728 279 0 0 279
STM0041 STM3303 279 0 0 279
STM0041 STM4149 279 0 0 279
STM0041 STM2299 207 0 0 207
STM0041 STM3416 253 0 0 252
STM0041 STM2581 279 0 0 279
STM0041 STM0013 284 0 0 284
STM0041 STM2914 207 0 0 207
STM0041 STM3441 253 0 0 252
STM0041 STM4391 279 0 0 279
STM0041 STM2108 207 0 0 207
STM0041 STM3283 253 0 0 252
STM0041 STM3419 253 0 0 252
STM0041 STM0070 239 0 0 238
STM0041 STM3435 253 0 0 252
STM0041 STM3428 253 0 0 252
STM0041 STM0216 253 0 0 252
STM0041 STM3710 207 0 0 207
STM0041 STM3253 239 0 0 238
STM0041 STM3983 239 0 0 238
STM0041 STM2089 207 0 0 207
STM0041 STM1191 279 0 0 279
STM0041 STM3440 253 0 0 252
STM0041 STM3426 253 0 0 252
STM0041 STM3437 275 0 0 275
STM0041 STM0932 207 0 0 207
STM0041 STM2673 279 0 0 279
STM0041 STM1022 284 0 0 284
STM0041 STM2388 239 0 0 238
STM0041 STM2676 279 0 0 279
STM0041 STM3425 253 0 0 252
STM0041 STM3430 253 0 0 252
STM0041 STM0903 284 0 0 284
STM0041 STM3345 253 0 0 252
STM0041 STM3068 239 0 0 238
STM0041 STM3414 279 0 0 279
STM0041 STM3417 253 0 0 252
STM0041 STM2070 207 0 0 207
STM0041 STM2091 207 0 0 207
STM0041 STM3418 253 0 0 252
STM0041 STM3727 279 0 0 279
STM0041 STM3439 239 0 0 238
STM0041 STM1431 253 0 0 252
STM0041 STM1112 284 0 0 284
STM0041 STM3433 253 0 0 252
STM0041 STM0792 253 0 0 252
STM0041 STM3780 239 0 0 238
STM0043 STM2956 603 0 0 603
STM0043 STM3421 789 0 0 789
STM0043 STM2583 776 0 0 776
STM0043 STM4146 671 0 0 671
STM0043 STM0953 478 0 0 478
STM0043 STM4153 489 0 0 489
STM0043 STM3445 671 0 0 671
STM0043 STM0135 478 0 0 478
STM0043 STM0833 220 0 0 220
STM0043 STM0470 671 0 0 671
STM0043 STM3427 954 0 0 953
STM0043 STM1705 229 0 0 228
STM0043 STM3422 789 0 0 789
STM0043 STM3436 954 0 0 953
STM0043 STM2224 789 0 0 789
STM0043 STM0346 220 0 0 220
STM0043 STM3406 713 0 0 713
STM0043 STM3447 954 0 0 953
STM0043 STM4148 478 0 0 478
STM0043 STM4149 789 0 0 789
STM0043 STM3303 789 0 0 789
STM0043 STM3728 789 0 0 789
STM0043 STM3423 954 0 0 953
STM0043 STM3424 789 0 0 789
STM0043 STM1243 204 0 0 204
STM0043 STM2665 671 0 0 671
STM0043 STM3288 478 0 0 478
STM0043 STM3344 954 0 0 953
STM0043 STM4349 820 0 0 819
STM0043 STM1334 478 0 0 478
STM0043 STM2386 478 0 0 478
STM0043 STM3431 954 0 0 953
STM0043 STM4150 789 0 0 789
STM0043 STM3448 954 0 0 953
STM0043 STM1043 220 0 0 220
STM0043 STM3283 954 0 0 953
STM0043 STM2688 766 0 0 766
STM0043 STM3682 489 0 0 489
STM0043 STM0981 478 0 0 478
STM0043 STM3321 713 0 0 713
STM0043 STM4391 954 0 0 953
STM0043 STM3285 478 0 0 478
STM0043 STM3434 954 0 0 953
STM0043 STM0943 205 0 0 205
STM0043 STM3419 761 0 0 761
STM0043 STM3645 229 0 0 228
STM0043 STM4151 789 0 0 789
STM0043 STM3438 789 0 0 789
STM0043 STM3416 954 0 0 953
STM0043 STM3742 603 0 0 603
STM0043 STM0315 616 0 0 616
STM0043 STM0131 478 0 0 478
STM0043 STM3420 478 0 0 478
STM0043 STM3441 954 0 0 953
STM0043 STM1658 296 0 0 296
STM0043 STM3209 954 0 0 953
STM0043 STM3411 713 0 0 713
STM0043 STM0219 683 0 0 683
STM0043 STM4096 678 0 0 678
STM0043 STM4147 478 0 0 478
STM0043 STM4152 766 0 0 766
STM0043 STM1335 789 0 0 789
STM0043 STM1776 676 0 0 676
STM0043 STM3435 789 0 0 789
STM0043 STM3446 766 0 0 766
STM0043 STM3428 789 0 0 789
STM0043 STM4393 954 0 0 953
STM0043 STM4581 533 0 0 533
STM0043 STM3649 253 0 0 252
STM0043 STM1191 789 0 0 789
STM0043 STM3286 683 0 0 683
STM0043 STM0469 671 0 0 671
STM0043 STM0216 954 0 0 953
STM0043 STM1066 478 0 0 478
STM0043 STM2673 789 0 0 789
STM0043 STM0447 478 0 0 478
STM0043 STM3429 789 0 0 789
STM0043 STM3031 220 0 0 220
STM0043 STM2676 954 0 0 953
STM0043 STM3432 789 0 0 789
STM0043 STM2211 669 0 0 669
STM0043 STM3426 954 0 0 953
STM0043 STM3741 492 0 0 491
STM0043 STM3041 713 0 0 713
STM0043 STM1246 220 0 0 220
STM0043 STM3440 789 0 0 789
STM0043 STM1837 205 0 0 205
STM0043 STM3437 789 0 0 789
STM0043 STM3415 713 0 0 713
STM0043 STM3459 533 0 0 533
STM0043 STM0629 205 0 0 205
STM0043 STM3418 954 0 0 953
STM0043 STM4560 478 0 0 478
STM0043 STM3727 789 0 0 789
STM0043 STM1070 635 0 0 635
STM0043 STM3977 268 0 0 268
STM0043 STM0838 533 0 0 533
STM0043 STM3425 789 0 0 789
STM0043 STM3430 789 0 0 789
STM0043 STM0749 229 0 0 228
STM0043 STM3414 789 0 0 789
STM0043 STM3839 789 0 0 789
STM0043 STM1996 253 0 0 252
STM0043 STM4394 789 0 0 789
STM0043 STM3417 954 0 0 953
STM0043 STM3345 789 0 0 789
STM0043 STM2677 478 0 0 478
STM0043 STM4154 478 0 0 478
STM0043 STM0306 220 0 0 220
STM0043 STM1062 533 0 0 533
STM0043 STM0920 220 0 0 220
STM0043 STM3287 478 0 0 478
STM0043 STM4334 713 0 0 713
STM0043 STM3439 789 0 0 789
STM0043 STM3433 789 0 0 789
STM0043 STM0090 478 0 0 478
STM0043 STM1336 789 0 0 789
STM0043 STM0240 497 0 0 497
STM0043 STM3304 789 0 0 789
STM0045 STM4319 0 900 0 900
STM0045 STM0867 0 900 0 900
STM0045 STM4249 0 900 0 900
STM0045 STM3950 0 900 0 900
STM0045 STM4110 232 0 0 231
STM0045 STM2993 218 0 0 218
STM0046 STM3058 183 0 147 273
STM0046 STM2827 205 0 0 205
STM0046 STM2953 0 0 311 311
STM0046 STM0648 503 300 311 739
STM0046 STM3984 183 0 147 273
STM0046 STM0537 0 0 311 311
STM0046 STM3040 425 68 311 598
STM0046 STM0801 189 0 0 189
STM0046 STM0185 545 115 164 633
STM0046 STM2427 189 0 0 189
STM0046 STM0242 700 300 311 842
STM0046 STM1000 566 60 311 694
STM0046 STM2155 552 252 358 766
STM0046 STM0686 545 115 311 698
STM0046 STM1333 195 0 0 195
STM0046 STM0680 203 0 0 203
STM0046 STM2829 0 0 311 311
STM0046 STM2583 0 0 311 311
STM0046 STM2415 545 115 311 698
STM0046 STM0963 0 0 311 311
STM0046 STM1338 213 0 359 473
STM0046 STM1909 551 300 311 764
STM0048 STM3434 508 0 0 508
STM0048 STM2855 172 0 191 301
STM0048 STM2849 531 0 0 531
STM0048 STM0216 508 0 0 508
STM0049 STM1779 0 0 309 309
STM0049 STM0204 0 0 310 309
STM0049 STM0090 0 0 311 311
STM0049 STM1783 186 0 0 186
STM0049 STM3511 0 0 337 337
STM0051 STM0416 220 0 0 220
STM0052 STM3328 0 0 333 333
STM0052 STM0626 0 900 0 900
STM0052 STM2123 0 0 197 197
STM0053 STM0625 0 900 0 900
STM0054 STM0766 299 900 0 926
STM0054 STM3353 299 900 0 926
