,Trifluoperazine,Tamoxifen,Fluconazole 8ug/ml,Fluconazole 10ug/ml,L-cycloserine,Sertraline,Clomiphene
YDR526C,1.24,0.24,0.28,-0.11,0.58,1.19,0.22
YDR527W,0.89,0.7,-0.62,-0.73,0.72,0.35,-0.52
YDR531W,0.43,1.06,1.29,0.32,-0.06,-0.3,0.88
YEL002C,-0.01,0.34,-0.13,0.62,-0.39,0.03,-0.69
YEL019C,-0.19,-1.08,0.95,0.13,-0.75,-0.34,-0.41
YEL026W,-0.2,-0.64,0.23,0.52,-1.01,0.02,-1.38
YEL032W,-0.01,-0.52,-0.13,-0.4,0.28,0.37,-0.36
YEL034W,-0.64,-0.81,-0.24,0.67,-0.88,-0.04,-1.27
YEL035C,0,1.09,1.32,0,1.31,0,1.36
YEL055C,0.08,0.22,0.62,0.21,-0.14,-0.11,-0.22
YEL058W,0.03,0.25,-0.31,-0.34,-0.59,-0.23,0.45
YER003C,0.72,0.42,0.65,0.62,0.9,-0.37,0.51
YER006W,0.91,0,0.34,0.55,0.33,-0.51,0.1
YER008C,0.48,-1.7,0.77,0.13,-0.63,0.2,1.28
YER009W,0.59,-0.79,0.58,0.77,-0.27,-0.44,0.17
YER012W,0.14,0.54,0.16,1.62,-0.62,1.11,-1.7
YER013W,0.63,-0.12,0.02,-0.16,0.21,-0.66,0.36
YER018C,0.1,-0.27,-0.49,-0.57,-0.28,-0.65,-0.78
YER021W,0.04,0.24,0.04,1.32,0.7,1.15,-0.22
YER022W,0.38,-0.36,-0.42,-0.3,0.9,0.72,0.76
YER023W,0.98,0.31,0.63,0.74,0.72,0.38,0.33
YER025W,1.53,0.95,-0.34,0.14,0.11,-0.01,0.76
YER036C,-1.3,-0.81,-0.64,0.29,-0.47,-0.29,-0.78
YER038C,-1.39,-1.91,-0.69,0.73,-1.29,-0.5,-2.03
YER043C,-0.33,-0.27,-1.44,-0.07,-0.21,0.12,-0.72
YER048W-A,-0.59,-2,-0.33,-0.59,-2.48,0.7,0.16
YER082C,0.14,-0.04,0.31,0.5,0.19,0.58,0.28
YER093C,1.06,3.35,1.3,-0.32,0.66,2.19,-0.08
YER094C,0.16,-0.88,-0.39,0.55,-1.1,0.25,-0.03
YER104W,0,0,0,0,0,0,0
YER112W,-1.08,0.03,-0.48,-0.7,-0.59,-0.14,-0.27
YER125W,0.42,0.37,-0.39,-0.75,0.14,-0.34,0.51
YER126C,0.26,0.25,1.16,-0.29,-0.7,-1.61,-0.17
YER127W,0.43,0.16,0.22,-0.27,-0.01,-0.81,0.7
YER133W,1.37,-0.61,-1.95,-2.55,0.54,-0.06,-0.48
YER136W,-0.94,-0.53,-0.38,0.03,-0.21,-0.71,-1.84
YER146W,-0.61,0.01,-1.17,-1.15,-0.96,-0.18,-1.3
YER147C,-0.15,-0.59,-0.02,-0.45,-0.61,-1.01,0.46
YER148W,-0.62,0.03,0.37,-0.04,-0.24,0.61,-0.24
YER157W,0,0,0,0,0,0,0
YER159C,-0.04,0.08,0.41,0.14,-0.16,0,0.36
YER165W,0.19,0.84,0.42,1.04,0.15,0.38,0.24
YER168C,-0.56,0.18,-0.77,-0.65,-0.04,0.28,-0.68
YER171W,-0.73,0.3,-1.06,-0.54,0.1,-0.22,0.66
YER172C,-0.93,-1.75,-1.09,-0.82,-2.4,-1.05,-1.77
YFL002C,-0.14,-0.7,-1.37,-0.56,0.03,-0.21,-0.58
YFL005W,0.93,0.37,0.09,0.13,1.48,-0.02,1.44
YFL008W,0,0,0,0,0,0,0
YFL009W,0.95,-0.1,-0.2,0.38,0.75,-0.39,-0.14
