node1,node2
b0054,b3738
b0695,b1608
b0177,b3006
b0167,b2553
b1394,b3839
b0181,b3633
b0571,b1129
b0156,b1204
b0032,b3172
b0181,b0915
b0054,b1054
b0093,b2313
b0036,b3839
b0156,b2830
b0110,b3229
b0054,b1116
b1489,b3251
b0121,b3251
b0215,b0435
b0054,b4262
b0096,b1215
b1253,b3846
b2081,b2827
b0975,b2991
b0367,b2818
b0054,b4200
b0177,b1118
b0054,b3228
b0054,b3609
b0181,b2708
b0049,b1204
b0177,b2595
b1129,b1969
b0306,b0307
b0177,b0915
b2078,b3868
b0570,b4398
b1096,b3012
b0695,b2125
b0182,b1215
b0179,b1215
b0093,b4261
b0049,b1912
b0053,b0054
b0831,b1294
b1609,b1969
b2067,b3251
b0053,b2595
b1210,b3160
b0118,b3774
b0177,b3461
b2219,b3350
b1235,b3669
b0179,b0915
b0215,b2595
b0525,b0570
b1435,b2827
b0096,b0918
b0078,b1312
b0182,b0918
b0054,b0156
b1129,b1130
b0054,b4040
b0478,b1261
b0486,b0576
b0054,b0177
b1435,b1781
b1406,b4032
b0043,b0221
b0054,b0683
b0156,b1912
b0049,b3056
b2078,b4401
b0054,b1204
b0179,b3633
b0177,b4220
b0054,b0738
b0825,b3386
b0182,b0737
b0156,b3228
b1435,b2249
b0049,b2595
b1883,b2554
b0076,b0208
b0315,b3252
b0156,b0683
b0049,b0054
b0115,b0628
b0156,b2906
b0177,b3633
b0167,b0450
b0049,b2830
b0156,b1861
b0212,b1654
b1210,b2029
b0049,b0683
b0054,b0110
b0096,b2708
b0054,b3035
b0049,b3228
b0177,b3005
b0156,b3609
b0181,b0918
b0049,b3390
b0104,b2994
b0215,b2472
b0054,b4261
b0054,b1861
b0133,b0134
b0008,b3386
b1100,b3251
b0093,b3609
b0110,b0156
b0096,b3197
b0049,b1861
b0207,b1435
b0156,b2532
b0054,b3181
b0215,b2906
b0054,b3633
b0078,b0695
b0995,b1609
b0053,b4392
b1260,b4388
b0053,b3259
b2218,b3072
b0306,b0308
b1406,b2938
b0182,b2708
b0054,b4392
b0049,b2962
b0031,b0828
b0054,b3259
b1291,b2178
b0049,b1208
b0571,b1884
b0156,b1208
b0212,b0435
b0156,b3056
b0995,b1968
b0167,b3053
b0156,b2742
b0156,b2617
b0156,b0524
b0400,b4113
b0054,b1118
b0182,b3197
b0054,b4220
b0096,b0177
b0054,b0657
b0156,b2962
b0212,b3190
b0995,b3072
b0096,b3006
b0110,b2830
b0054,b3056
b0179,b2708
b0828,b1312
b0093,b2595
b2067,b3030
b2019,b2023
b0215,b3229
b1293,b3476
b0525,b1778
b1781,b3998
b0049,b0524
b0179,b0918
b1235,b2556
b0215,b3294
b0093,b1254
b0054,b2532
b0156,b2898
b1882,b2219
b0182,b3006
b0054,b0891
b0182,b2378
b0208,b0212
b0054,b2568
b0570,b3179
b1487,b3478
b0215,b3181
b2220,b3072
b0078,b3452
b0181,b3197
b0093,b0738
b0825,b4301
b0207,b2249
b0179,b3197
b0054,b3740
b0054,b0740
b0054,b3391
b1698,b2766
b0110,b2595
b0096,b0737
b0049,b3281
b0121,b0525
b1517,b3389
b0181,b3006
b0428,b2341
b1291,b3478
b0177,b0182
b0674,b2615
b0493,b3012
b0095,b0286
b0054,b3194
b0049,b3229
b0419,b3772
b0093,b2962
b0156,b2748
b0009,b0827
b0156,b2618
b0049,b2748
b0054,b2701
b0110,b0630
b0110,b3228
b0049,b3259
b0832,b1291
b1291,b1485
b2029,b2961
b1395,b2282
b1883,b1886
b0177,b0738
b0145,b1654
b0078,b2600
b0049,b2617
b0156,b3390
b0478,b1260
b0009,b0783
b0156,b1987
b0156,b1209
b2038,b2040
b0522,b3772
b0215,b0630
b1130,b1609
b1291,b1486
b0478,b2078
b0215,b2619
b0145,b3609
b0118,b1276
b0049,b2618
b1406,b4358
b0156,b0640
b0995,b4112
b0093,b3228
b0093,b2898
b0177,b0181
b1291,b3542
b0009,b3551
b0093,b3192
b0049,b1716
b0014,b0055
b0055,b0650
b0055,b2526
b0049,b0640
b1130,b3911
b0695,b3405
b0177,b3194
b0828,b3959
b0207,b3451
b0156,b1654
b0156,b2568
b0695,b4401
b0159,b3831
b0054,b2748
b0049,b1209
b0156,b1212
b0181,b0737
b2218,b3179
b0054,b2742
b0053,b0636
b0825,b4085
b0156,b1716
b0054,b0441
b0215,b0721
b1244,b1291
b1232,b4006
b0093,b3229
b0316,b1275
b0493,b4235
b0093,b1654
b0177,b0740
b0831,b1291
b0156,b3740
b0009,b0781
b0054,b0630
b1647,b4358
b0054,b2617
b0156,b3281
b1244,b3544
b0049,b3740
b1608,b3911
b1291,b3477
b0054,b0636
b0093,b4234
b0049,b1212
b0053,b0683
b0110,b3609
b0093,b0891
b0054,b1209
b0399,b4112
b0015,b0624
b1882,b1887
b0156,b0662
b0156,b1275
b1968,b3912
