node1,node2
b2806,b2808
b0048,b0049
b3193,b3201
b1089,b1094
b1865,b1983
b3264,b3514
b1179,b1181
b1684,b2527
b3804,b3806
b0872,b0873
b3964,b3965
b0066,b0068
b2413,b2414
b3169,b3175
b0940,b3143
b4162,b4169
b0083,b0084
b4194,b4195
b2383,b2386
b2168,b3950
b2386,b3947
b2167,b3131
b1610,b1611
b0434,b0435
b2960,b2962
b1132,b1135
b4214,b4216
b1280,b2231
b0103,b3335
b1659,b3439
b0903,b4379
b0487,b0488
b3143,b4317
b3437,b4264
b0742,b0750
b1593,b3617
b0084,b0093
b3114,b4379
b2741,b2745
b2726,b2730
b2195,b4075
b4036,b4037
b1072,b1075
b2290,b2291
b0631,b0634
b2894,b4383
b2150,b3749
b2234,b2236
b1089,b1095
b0176,b0178
b4151,b4153
b2295,b2297
b3170,b3175
b2254,b2256
b0880,b0881
b0531,b0532
b0972,b2993
b3131,b3949
b4094,b4099
b2608,b2611
b1251,b1260
b2495,b2496
b2280,b2283
b4098,b4101
b0907,b1280
b3300,b3302
b1390,b1394
b2186,b2187
b2830,b2831
b3318,b3341
b0792,b3487
b1900,b2150
b0903,b2492
b0082,b0093
b1889,b1892
b1939,b1943
b2513,b2516
b3302,b3304
b1179,b1804
b1939,b1942
b1765,b1766
b2492,b3114
b4098,b4102
b3397,b3401
b3301,b3302
b3722,b3723
b3095,b3096
b0053,b0055
b3421,b4475
b0920,b0921
b2993,b2997
b1542,b3091
b3642,b3644
b1304,b1305
b2952,b2955
b3131,b3899
b0425,b0426
b3261,b4006
b3412,b3414
b2768,b3926
b1612,b4122
b0774,b0777
b4381,b4384
b2696,b2697
b2064,b2065
b3031,b3035
b3621,b3631
b1088,b1095
b3981,b3987
b2411,b2413
b0824,b0903
b3030,b3033
b0613,b0615
b3318,b3342
b2277,b2280
b1304,b1306
b2128,b2130
b3769,b3770
b2313,b2314
b3197,b3199
b0239,b0240
b2720,b2722
b0050,b0054
b3637,b3641
b1659,b3106
b1388,b1394
b3194,b3200
b1077,b1083
b2455,b2457
b3997,b3999
b1831,b1833
b2196,b4075
b4259,b4261
b0041,b2769
b0081,b0093
b3387,b3389
b3302,b3305
b3189,b3229
b0106,b3335
b3228,b3234
b4399,b4400
b0902,b2579
b0113,b0114
b2707,b3949
b1222,b1223
b4068,b4069
b0616,b0618
b3973,b3974
b3740,b3742
b3183,b3184
b3306,b3318
b2616,b2618
b0638,b1991
b0178,b0180
b2415,b2417
b1612,b3062
b1073,b1081
b3251,b4472
b1073,b1082
b2707,b3899
b2715,b2716
b1923,b1925
b3886,b3887
b0464,b3514
b1888,b1890
b2906,b2909
b3819,b3820
b1942,b1944
b3204,b3206
b4393,b4394
b1942,b1945
b0926,b0927
b3386,b3387
b4162,b4168
b1198,b1200
b3232,b3233
b2476,b2477
b3302,b3306
b3449,b3453
b3938,b3940
b0721,b0722
b2942,b2944
b3175,b3919
b3318,b3340
b3307,b3318
b1274,b3284
b0367,b0936
b0222,b0223
b4041,b4043
b1943,b1948
b2555,b2556
b0684,b0687
b1723,b3950
b0306,b0308
b3305,b3318
b3998,b3999
b2994,b2995
b1922,b1924
b3304,b3318
b0532,b3143
b2527,b2532
b2050,b2053
b2795,b2798
b2477,b2480
b3836,b3838
b1684,b2525
b3193,b3200
b2607,b2611
b0422,b0423
b3298,b3302
b3303,b3318
b3092,b3128
b1596,b2537
b0163,b0166
b4192,b4193
b2615,b2617
b1076,b1083
b1513,b2150
b1075,b1083
b3803,b3806
b2617,b2620
b3609,b3614
b3344,b3346
b2295,b2458
b1083,b1924
b3294,b3301
b0857,b1440
b2330,b2340
b0531,b3144
b2197,b4075
b2944,b2945
b1124,b1440
b3192,b3235
b1944,b1950
b1697,b2769
b4088,b4230
b3921,b3924
b2482,b2720
b2291,b2292
b3197,b3203
b3591,b3891
b4259,b4262
b0856,b1440
b3318,b3980
b1209,b1211
b1101,b2417
b1887,b1889
b1251,b1267
b2261,b2265
b2525,b2532
b3233,b3234
b3057,b3058
b2937,b2938
b2416,b3949
b3810,b3812
b1074,b1083
b0222,b3150
b1517,b1518
b2203,b2205
b3297,b3302
b2169,b3949
b3302,b3307
b4389,b4461
b4113,b4114
b3972,b4004
b3868,b3972
b3847,b3848
b3709,b4041
b3627,b3628
b3580,b3934
b3498,b3580
b3422,b3972
b3403,b3772
b3394,b3395
b3290,b4232
b3271,b3726
b3260,b3869
b3220,b3930
b3209,b4167
b3208,b3281
b3187,b4297
b3187,b3771
b3179,b3247
b3166,b3167
b3161,b4041
b3079,b3080
b3076,b3077
b3053,b3503
b2955,b3540
b2948,b2949
b2914,b3919
b2899,b3159
b2896,b4398
b2894,b4041
b2894,b3812
b2869,b3972
b2844,b3606
b2837,b3580
b2836,b3248
b2830,b4121
b2828,b3619
b2808,b4374
b2803,b3934
b2803,b2837
b2785,b3169
b2782,b2783
b2776,b3498
b2744,b3187
b2731,b3972
b2714,b2803
b2709,b3972
b2700,b3939
b2700,b3008
b2697,b3251
b2615,b3149
b2569,b2960
b2559,b2972
b2559,b2832
b2554,b3972
b2540,b2541
b2539,b2540
b2533,b3289
b2521,b4054
b2515,b4006
b2491,b3972
b2480,b2914
b2469,b3667
b2434,b4053
b2426,b2544
b2384,b2385
b2379,b3543
b2379,b3477
b2316,b3176
b2311,b3833
b2286,b2486
b2263,b3210
b2263,b2786
b2263,b2370
b2256,b3633
b2255,b2318
b2224,b3606
b2220,b3972
b2180,b2955
b2178,b2379
b2159,b4139
b2151,b2803
b2140,b4374
b2128,b2129
b2066,b3158
b2066,b2081
b2063,b2559
b2058,b2059
b2042,b3350
b1987,b4374
b1962,b3471
b1879,b2220
b1835,b3752
b1835,b2183
b1827,b3479
b1822,b3780
b1822,b2576
b1816,b2559
b1805,b3248
b1780,b4391
b1752,b1753
b1658,b3580
b1658,b2803
b1647,b2388
b1627,b1628
b1587,b2284
b1587,b2113
b1583,b1584
b1580,b3702
b1546,b1547
b1511,b3934
b1511,b2837
b1511,b2151
b1511,b1658
b1435,b4013
b1435,b2066
b1392,b2686
b1392,b1828
b1387,b2842
b1373,b1547
b1372,b1546
b1372,b1373
b1342,b1686
b1323,b3972
b1317,b3124
b1312,b4033
b1311,b1312
b1303,b3972
b1290,b2955
b1288,b1517
b1281,b3859
b1275,b4374
b1266,b3081
b1253,b3540
b1253,b1290
b1251,b1749
b1247,b2955
b1247,b1483
b1247,b1290
b1236,b3350
b1232,b3606
b1222,b3667
b1219,b3492
b1215,b4090
b1212,b2891
b1190,b2434
b1180,b1300
b1135,b2168
b1131,b2476
b1125,b3271
b1118,b3463
b1117,b3463
b1098,b1099
b1097,b1746
b1084,b3179
b1069,b1633
b0993,b2263
b0969,b1135
b0967,b3057
b0949,b1780
b0945,b1761
b0935,b1647
b0928,b2521
b0915,b3350
b0894,b2113
b0887,b0915
b0885,b3524
b0879,b4106
b0879,b3463
b0879,b3041
b0879,b1917
b0879,b1277
b0879,b1118
b0878,b3463
b0870,b1253
b0861,b2308
b0861,b0862
b0859,b3652
b0859,b1114
b0856,b3271
b0856,b1124
b0833,b3518
b0829,b2955
b0794,b3202
b0792,b1764
b0785,b2330
b0783,b3865
b0783,b2472
b0766,b2469
b0766,b1222
b0759,b4131
b0759,b4117
b0759,b2965
b0755,b3251
b0727,b2918
b0708,b1828
b0693,b0759
b0686,b1870
b0661,b2556
b0648,b0649
b0646,b0648
b0645,b0649
b0645,b0646
b0634,b3998
b0634,b3542
b0634,b3478
b0634,b1245
b0634,b0832
b0628,b3401
b0597,b1342
